cluster_id,priority,decision,recommended_capability,recommended_surface,source_count,average_score,selected_harnesses,source_ids,source_names,source_verdicts,source_average_scores,row_verdicts,problem_solved,why_this_is_better,reuse_or_merge_plan,risks_or_open_questions
C027-multi-review-convergence-gates,P1,merge,Risk-calibrated review convergence for high-stakes decisions and launches,Existing phase-execution and subagent-driven-development review gates,2,3.08,agent-skills,command:ship; skill:doubtdrivendevelopment,ship; doubt-driven-development,command:ship:rewrite; skill:doubtdrivendevelopment:rewrite,command:ship:3.67; skill:doubtdrivendevelopment:2.50,rewrite:2,"Challenge consequential in-flight claims, converge independent findings, and make an evidence-backed go or no-go decision with rollback considerations.","ship contributes independent pre-launch convergence and rollback planning; doubt-driven-development contributes a bounded claim, adversarial review, reconciliation, and stop cycle. Both are useful but overlap existing review orchestration.","Merge a short high-risk mode into existing orchestration: extract the claim and contract, use risk-selected reviewers, reconcile findings, and require project-specific release and rollback evidence. Do not add a separate command or mandatory cycle.","Mandatory fresh reviewers, repeated cross-model offers, hard-coded personas, and broad release ceremony would add cost and tool fragility. Keep the mode opt-in by risk and avoid duplicating adversarial design review."
C028-planning-prd-and-implementation-workflows,P2,merge,Approved-specification to dependency-aware execution planning,"Existing brainstorming, planning, prepare-phases, Beads, and phase-execution surfaces",11,3.61,agent-skills; mattpocock_skills; superpowers,skill:decisionmapping; skill:executingplans; skill:implement; skill:requestrefactorplan; skill:toprd; skill:usinggitworktrees; skill:writingplans; command:plan; command:spec; skill:planningandtaskbreakdown; skill:specdrivendevelopment,decision-mapping; executing-plans; implement; request-refactor-plan; to-prd; using-git-worktrees; writing-plans; plan; spec; planning-and-task-breakdown; spec-driven-development,skill:decisionmapping:merge; skill:executingplans:merge; skill:implement:reject_after_review; skill:requestrefactorplan:merge; skill:toprd:merge; skill:usinggitworktrees:rewrite; skill:writingplans:merge; command:plan:merge; command:spec:merge; skill:planningandtaskbreakdown:merge; skill:specdrivendevelopment:merge,skill:decisionmapping:3.17; skill:executingplans:4.00; skill:implement:2.50; skill:requestrefactorplan:3.33; skill:toprd:3.50; skill:usinggitworktrees:4.33; skill:writingplans:4.17; command:plan:4.17; command:spec:3.67; skill:planningandtaskbreakdown:3.83; skill:specdrivendevelopment:3.00,merge:9; reject_after_review:1; rewrite:1,"Turn conversation or approved requirements into vertically sliced, dependency-aware tasks with acceptance criteria, verification, review checkpoints, and optional workspace isolation.","The selected planning, specification, PRD, task-breakdown, execution, and decision-mapping rows reinforce one coherent workflow. Their useful mechanics overlap stronger local owners, while implement is underspecified and request-refactor-plan is deprecated.","Keep local planning and Beads canonical. Merge explicit assumptions, non-goals, vertical slices, real dependency mapping, acceptance criteria, and verification checkpoints. Treat worktrees as an optional localized isolation technique, not a default planning step.","Do not import fixed SPEC.md or tasks files, GitHub issue publishing, repeated approval gates, automatic tiny commits, or a duplicate execution skill. Worktree guidance must respect Codex thread behavior and existing Git safety."
C030-product-discovery-validation,P1,merge,Structured product discovery with assumption testing and explicit non-goals,"Existing brainstorming skill, with grill-me used only for deeper interrogation",2,3.67,agent-skills,skill:idearefine; skill:interviewme,idea-refine; interview-me,skill:idearefine:merge; skill:interviewme:merge,skill:idearefine:4.17; skill:interviewme:3.17,merge:2,"Convert a vague idea into grounded alternatives and a focused outcome by identifying beneficiaries, success measures, constraints, assumptions, feasibility, and non-goals.","idea-refine supplies a strong divergent-to-convergent flow and assumption audit; interview-me adds hypothesis-backed, one-question-at-a-time outcome discovery. Both overlap the existing discovery and interrogation surfaces.","Add concise discovery prompts to brainstorming: generate distinct directions, test the riskiest assumptions, ask only decision-changing questions, and finish with an outcome, recommendation, success measure, constraints, and non-goals.","Avoid the rigid 95-percent confidence threshold, refusal of ordinary confirmations, and exhaustive interviewing when a reasonable assumption is safe. Keep boundaries clear with planning and adversarial design review."
C031-project-memory-session-continuity-and-learning,P2,merge,Minimal session handoff checkpoint for interrupted or cross-agent work,"Existing interruption, compaction, project-doc, and teach-session conventions",4,3.38,mattpocock_skills,skill:handoff; skill:obsidianvault; skill:teach; skill:writingshape,handoff; obsidian-vault; teach; writing-shape,skill:handoff:merge; skill:obsidianvault:defer; skill:teach:merge; skill:writingshape:reject_after_review,skill:handoff:4.17; skill:obsidianvault:3.17; skill:teach:2.67; skill:writingshape:3.50,defer:1; merge:2; reject_after_review:1,"Preserve the current objective, verified state, decisions, blockers, and next action so work can resume without reconstructing the session.","handoff is the only strong continuity-specific row and fits existing resume conventions. teach is already covered by teach-session; Obsidian is dependency-specific, and writing-shape is article production rather than coding continuity.",Merge a short handoff format into existing continuity guidance and use it only at real interruption or ownership boundaries. Keep teach-session canonical; leave personal vault management deferred and article shaping outside the harness.,"Routine handoff files can become stale, duplicate Beads or project docs, and add ceremony. Define one authoritative location per fact and avoid coupling continuity to Obsidian or another personal knowledge tool."
C032-safe-refactor-and-code-simplification,P1,merge,"Behavior-preserving, context-first code simplification",Existing AK guidance and code-review maintainability lens,3,3.28,agent-skills,command:codesimplify; hook:simplifyignoresh; skill:codesimplification,code-simplify; simplify-ignore.sh; code-simplification,command:codesimplify:merge; hook:simplifyignoresh:reject_after_review; skill:codesimplification:merge,command:codesimplify:4.17; hook:simplifyignoresh:2.00; skill:codesimplification:3.67,merge:2; reject_after_review:1,"Reduce accidental complexity without changing behavior, weakening error handling, violating project conventions, or expanding the requested scope.","code-simplify and code-simplification agree on caller analysis, Chesterton's Fence, bounded edits, behavior preservation, and incremental verification. simplify-ignore.sh demonstrates why source-masking hooks are too risky.","Merge the context checklist and before-and-after behavior proof into AK and review guidance. Simplify only recently changed or explicitly scoped code, one verified step at a time; do not add a duplicate command or mutating hook.","Simplification can become unsolicited churn or silently alter edge cases. Never hide source with placeholders, rely on Stop-hook restoration, optimize for line count, or proceed when callers and invariants are not understood."
C033-security-and-privacy-review,P1,merge,Threat-model-first security and privacy review,existing code-review security lens and project safety guidance,2,3.83,agent-skills,agent:securityauditor; skill:securityandhardening,security-auditor; security-and-hardening,agent:securityauditor:merge; skill:securityandhardening:merge,agent:securityauditor:4.50; skill:securityandhardening:3.17,merge:2,"Audit trust boundaries for exploitable authentication, authorization, injection, secrets, SSRF, supply-chain, privacy, infrastructure, integration, and LLM-specific failures with actionable evidence.",Both selected evaluations call for merging complementary exploit-evidence and threat-model patterns into the security review problem space; neither establishes a need for another standalone specialist surface.,"Merge assets, actors, trust boundaries, abuse paths, concrete evidence, severity, SSRF, supply-chain, and LLM trust-boundary checks into the existing review and safety guidance. Add a specialist only if recurring project evidence later justifies it.","Prune Node and Express assumptions, universal audit claims, and exhaustive low-signal checklists. The merged lens must remain evidence-based and must not imply that model review proves a system secure."
C034-skill-authoring-evaluation-and-portfolio,P1,merge,Skill-authoring canon with portfolio anti-duplication preflight,Existing system skill-creator plus local harness-evaluate guidance,7,3.43,agent-skills; mattpocock_skills; superpowers,skill:usingsuperpowers; skill:writinggreatskills; skill:writingskills; plugin:mattpocockskills; plugin:agentskills; rule:skillscontributing; skill:usingagentskills,using-superpowers; writing-great-skills; writing-skills; mattpocock-skills; agent-skills; skills-contributing; using-agent-skills,skill:usingsuperpowers:reject_after_review; skill:writinggreatskills:merge; skill:writingskills:merge; plugin:mattpocockskills:reject_after_review; plugin:agentskills:reject_after_review; rule:skillscontributing:merge; skill:usingagentskills:reject_after_review,skill:usingsuperpowers:3.00; skill:writinggreatskills:4.33; skill:writingskills:3.83; plugin:mattpocockskills:2.83; plugin:agentskills:2.83; rule:skillscontributing:4.50; skill:usingagentskills:2.67,merge:3; reject_after_review:4,"Create predictable, well-routed, verified skills only after proving that the existing portfolio lacks an adequate capability.",writing-great-skills and writing-skills provide authoring and verification guidance; skills-contributing adds a high-value catalog and open-work gap check. The umbrella plugins and meta-routers are duplicative or overly rigid.,"Merge a preflight into the existing authoring path: search skills and active work, state the unmet job, choose the smallest surface, write precise triggers, and verify discovery and behavior. Continue evaluating catalog capabilities individually.","Do not duplicate the system skill-creator, mandate skill invocation on every turn, import repository-specific CONTRIBUTING or open-PR mechanics, or install either broad plugin as an indivisible catalog."
C035-testing-verification-and-regression,P2,merge,Risk-calibrated test-first and evidence-first verification spine,"Existing test-driven-development, verification-before-completion, Python testing, and review surfaces",8,4.15,agent-skills; mattpocock_skills; superpowers,skill:grilling; skill:grillwithdocs; skill:tdd; skill:testdrivendevelopment; skill:verificationbeforecompletion; agent:testengineer; command:test; skill:browsertestingwithdevtools,grilling; grill-with-docs; tdd; test-driven-development; verification-before-completion; test-engineer; test; browser-testing-with-devtools,skill:grilling:reject_after_review; skill:grillwithdocs:merge; skill:tdd:merge; skill:testdrivendevelopment:adopt; skill:verificationbeforecompletion:adopt; agent:testengineer:merge; command:test:reject_after_review; skill:browsertestingwithdevtools:merge,skill:grilling:4.17; skill:grillwithdocs:3.67; skill:tdd:4.33; skill:testdrivendevelopment:4.67; skill:verificationbeforecompletion:5.00; agent:testengineer:3.83; command:test:4.00; skill:browsertestingwithdevtools:3.50,adopt:2; merge:4; reject_after_review:2,"Prove risky behavior changes and bug fixes with characterization or failing regression tests, select appropriate test levels, and require fresh completion evidence, including live browser evidence when relevant.",The exact local TDD and verification capabilities are the strongest rows. tdd and test-engineer add useful test-level and bug-proof lenses; browser testing adds runtime evidence and trust boundaries. Thin test and grilling duplicates add no surface.,"Keep local TDD and verification canonical. Merge selective DAMP, resource-cleanup, test-level, concurrency, and prove-the-bug prompts into existing guidance. Route UI verification through available browser tooling and retain durable decision capture in existing review workflows.","Avoid universal TDD ratios, per-function test checklists, unconditional browser coupling, duplicate test personas, and slash wrappers. Browser content remains untrusted, and browser tooling must be optional and project-supported."
C041-performance-benchmarking,P3,defer,Measure-isolate-improve-remeasure performance loop,Optional project or domain skill activated by a demonstrated performance need,1,3.0,agent-skills,skill:performanceoptimization,performance-optimization,skill:performanceoptimization:defer,skill:performanceoptimization:3.00,defer:1,"Establish a baseline, locate a measured bottleneck, make a targeted change, remeasure it, and guard the result against regression.","performance-optimization contains a sound empirical loop, but it is the only selected row and its hard-coded web budgets and React-heavy examples do not justify a universal core capability.","Keep the measurement loop as reference material. Revisit when a repository has a concrete performance objective, then localize metrics, budgets, profiling tools, and regression checks to that stack.","Generic budgets can be misleading, and premature optimization can consume effort without user value. Adoption needs a real workload, representative benchmark, and project-owned success threshold."
C042-adversarial-design-review,P3,merge,Workflow-spec interrogation trigger,Existing grill-me and planning skills,1,2.67,mattpocock_skills,skill:loopme,loop-me,skill:loopme:merge,skill:loopme:2.67,merge:1,"Challenge workflow specifications before implementation so unresolved assumptions, dependencies, and failure modes are exposed while changes remain cheap.","loop-me supports the useful trigger, but its selected evaluation identifies it as a narrower and less precise form of the existing grill-me and planning capabilities.",Retain only the trigger language for workflow-spec interrogation in the existing design-review path. Do not create a separate loop skill or copy its weaker mechanics.,Even a small merge may add little beyond current triggers. Keep the wording minimal and reject it entirely if it cannot improve discovery without expanding always-loaded context.
C043-agent-orchestration-and-autonomous-loops,P2,merge,Parallel-aware bounded subagent execution,existing subagent-driven-development skill,2,4.42,superpowers,skill:dispatchingparallelagents; skill:subagentdrivendevelopment,dispatching-parallel-agents; subagent-driven-development,skill:dispatchingparallelagents:merge; skill:subagentdrivendevelopment:adopt,skill:dispatchingparallelagents:4.00; skill:subagentdrivendevelopment:4.83,adopt:1; merge:1,Execute approved plans through bounded implementer and reviewer tasks while dispatching genuinely independent work in parallel.,"subagent-driven-development is already local and scores strongly across effectiveness, instruction quality, and structural efficiency; dispatching-parallel-agents adds a clear independence test, but its own evaluation says it needs local lifecycle and artifact-ownership rules.",Keep the local subagent-driven-development lifecycle as the canonical surface and merge only the parallel-dispatch routing condition for two or more tasks without shared state or sequential dependencies.,"Parallel work can still collide through shared files or hidden dependencies, so the merged guidance must preserve explicit ownership, dependency checks, and review handoffs."
C044-domain-and-technology-specific-packs,P3,defer,Long-form article editing,optional writing skill,4,3.33,mattpocock_skills,skill:editarticle; skill:scaffoldexercises; skill:writingbeats; skill:writingfragments,edit-article; scaffold-exercises; writing-beats; writing-fragments,skill:editarticle:merge; skill:scaffoldexercises:reject_after_review; skill:writingbeats:reject_after_review; skill:writingfragments:reject_after_review,skill:editarticle:3.50; skill:scaffoldexercises:3.17; skill:writingbeats:3.33; skill:writingfragments:3.33,merge:1; reject_after_review:3,"Restructure, clarify, and tighten long-form article drafts when a user explicitly needs editorial help.","edit-article is the only selected candidate with moderate general value, while scaffold-exercises is course-specific and writing-beats and writing-fragments are low-effectiveness article-craft workflows outside routine coding work.","Do not add a core domain pack now; if repeated article-editing demand appears, extract the restructuring and clarity checks from edit-article into a small optional skill or merge them into existing document-review guidance without bringing over the course and narrative-authoring workflows.","A standalone writing surface would overlap document-review, html-artifact, brainstorming, and normal editing behavior, and there is no demonstrated recurring course- or article-authoring need in this harness."
C050-deployment-devops-and-operations,P3,defer,"Deployment readiness, observability, and staged launch guidance",optional application-operations skill pack,3,3.11,agent-skills,skill:cicdandautomation; skill:observabilityandinstrumentation; skill:shippingandlaunch,ci-cd-and-automation; observability-and-instrumentation; shipping-and-launch,skill:cicdandautomation:defer; skill:observabilityandinstrumentation:defer; skill:shippingandlaunch:defer,skill:cicdandautomation:2.67; skill:observabilityandinstrumentation:3.83; skill:shippingandlaunch:2.83,defer:3,"Prepare production changes with repository quality gates, diagnosable telemetry, incremental rollout, rollback triggers, and post-launch verification.","observability-and-instrumentation supplies the strongest question-driven telemetry guidance, while ci-cd-and-automation and shipping-and-launch contribute quality-gate and rollout patterns; all three evaluations also identify stack-specific examples or universal mandates that make direct core adoption unsafe.","When an application repository needs operations support, merge the lifecycle concepts into a localized pack driven by that repo's stack, risk model, and verification commands; omit fixed GitHub/Node assumptions, blanket instrumentation rules, and hard-coded rollout thresholds.","The right gates, metrics, alert thresholds, feature-flag policy, rollout stages, and rollback windows are project-specific, so generic defaults could add cost or produce false confidence."
C052-frontend-ui-design-and-visual-artifacts,P2,adapt,"Accessible, responsive, state-complete frontend implementation checks",optional project-local frontend implementation skill,1,2.83,agent-skills,skill:frontenduiengineering,frontend-ui-engineering,skill:frontenduiengineering:merge,skill:frontenduiengineering:2.83,merge:1,"Build user interfaces that follow an established design system, cover runtime states, meet accessibility needs, and are verified in the browser.","The selected row contributes a useful accessibility and UI-state checklist, but its general trigger masks predominantly React and Tailwind advice plus arbitrary style rules, and this focused evidence does not establish a canonical local frontend owner.","Adapt the framework-neutral accessibility, responsive-state, design-system, and runtime-verification checks into an optional project-local skill only when a repository has recurring frontend work; otherwise keep it deferred reference evidence.","The extracted checklist must not imply React or Tailwind, duplicate design-system guidance, or turn subjective style preferences into universal quality requirements."
C053-hook-session-lifecycle-and-memory,P3,reject_after_review,Always-on session-start skill-catalog injection,no standalone surface,1,2.83,agent-skills,hook:sessionstartsh,session-start.sh,hook:sessionstartsh:reject_after_review,hook:sessionstartsh:2.83,reject_after_review:1,Expose skill-discovery guidance at the start of every Claude session.,"session-start.sh has low effectiveness, precision, and structural efficiency, and its evaluation finds that injecting the full discovery meta-skill every session duplicates native skill routing while violating the lean context budget.",Retain runtime-native skill discovery and reserve local SessionStart hooks for small dynamic context such as Beads or staleness information; do not port this hook.,"Native routing still needs periodic verification that skill triggers are discoverable, but any gap should be fixed in metadata or routing rather than with permanent catalog injection."
C056-legacy-modernization-and-business-rule-extraction,P2,adapt,Measured deprecation and incremental migration lifecycle,optional project-local migration skill,1,3.83,agent-skills,skill:deprecationandmigration,deprecation-and-migration,skill:deprecationandmigration:merge,skill:deprecationandmigration:3.83,merge:1,"Retire legacy APIs, systems, or features safely by identifying consumers, supplying a replacement, migrating incrementally, and delaying destructive removal.","deprecation-and-migration is clear and effective and adds coherent consumer measurement plus expand-contract sequencing, but its cited overlaps do not prove a current local owner and it overstates the universal availability of reversible down migrations.","Adapt the consumer inventory, replacement-first, compatibility-window, incremental migration, and removal-evidence steps into a project-local skill when recurring migration work warrants it, with rollback requirements conditioned on the specific change's reversibility.","Some data transformations are irreversible, compatibility windows can prolong dual-system cost, and consumer measurement may be incomplete; the adapted workflow must require explicit mitigation rather than promise a down path."
C066-hook-authoring-policy-and-plumbing,P3,reject_after_review,Hook test fixtures as routed harness capabilities,implementation tests under their owning hooks,2,2.08,agent-skills,hook:sessionstarttestsh; hook:simplifyignoretestsh,session-start-test.sh; simplify-ignore-test.sh,hook:sessionstarttestsh:reject_after_review; hook:simplifyignoretestsh:reject_after_review,hook:sessionstarttestsh:2.33; hook:simplifyignoretestsh:1.83,reject_after_review:2,"Verify session-start payload handling and simplify-ignore parsing, syntax, newline, and malformed-input behavior.","Both selected rows have effectiveness and structural-efficiency scores of one and are explicitly test scripts for parent hooks, not independent triggers or user workflows.",Preserve such scripts only as tests beside the production hook or plugin they verify and exclude them from capability routing and adoption inventories.,Automated inventory scans may continue to misclassify executable test fixtures as hooks unless classification distinguishes production entry points from supporting tests.
C068-legacy-command-shims,P2,merge,Skill-first disciplined development workflows,existing scoped workflow skills without legacy command shims,6,3.42,agent-skills; superpowers,skill:brainstorming; plugin:superpowers; command:brainstorm; command:executeplan; command:writeplan; command:build,brainstorming; superpowers; brainstorm; execute-plan; write-plan; build,skill:brainstorming:adopt; plugin:superpowers:merge; command:brainstorm:reject_after_review; command:executeplan:reject_after_review; command:writeplan:reject_after_review; command:build:reject_after_review,skill:brainstorming:4.17; plugin:superpowers:4.00; command:brainstorm:3.00; command:executeplan:3.00; command:writeplan:3.00; command:build:3.33,adopt:1; merge:1; reject_after_review:4,"Route requirements discovery, planning, debugging, TDD, execution, and verification through canonical skills instead of duplicate or deprecated commands.","brainstorming and the superpowers workflow suite are highly effective, but brainstorming already exists locally and the suite strongly overlaps local workflow skills; the three superpowers commands are explicitly deprecated, while the build command adds rigid paths and automatic commits that conflict with local authority and Beads-backed execution.","Keep the locally scoped brainstorming, planning, TDD, debugging, verification, phase, and subagent skills as canonical; mine only missing workflow details from superpowers and do not retain brainstorm, execute-plan, write-plan, or build command wrappers.","Broad mandatory triggers can create unnecessary ceremony, and importing the plugin wholesale would duplicate local skills; selective merging needs a concrete gap check for each pattern."
C071-repo-specific-skill-router,P3,reject_after_review,Matt-specific skill-catalog router,no standalone surface,1,2.5,mattpocock_skills,skill:askmatt,ask-matt,skill:askmatt:reject_after_review,skill:askmatt:2.50,reject_after_review:1,Route a user to the appropriate skill or flow in Matt Pocock's repository-specific catalog.,"ask-matt has low effectiveness, instruction quality, precision, and structural efficiency, and its evaluation identifies the catalog binding as non-portable and redundant with local docs, read order, and runtime routing.","Continue using the local docs index, AGENTS read order, and native skill metadata for routing; do not port the foreign catalog or its router.",Copying the router would drift as either catalog changes and could direct users to unavailable or semantically different skills.
