name,harness,primary_bucket_id,primary_bucket,secondary_bucket_ids,secondary_buckets,capability_family,family_relation,adoption_scope,canonical_path,line_count,description
subagent-driven-development,ours,4,Implementation & Refactoring,10,"Orchestration, Handoff & Context Continuity",plan-execution,pipeline,in-scope,.claude/skills/subagent-driven-development/SKILL.md,60,Use when executing an approved standard or deep plan through bounded tasks with implementer and review agents.
test-driven-development,ours,5,Testing & Runtime Validation,4,Implementation & Refactoring,tdd,singleton,in-scope,.claude/skills/test-driven-development/SKILL.md,32,"Use for risky behavior changes, bug fixes, or legacy edits where test-first or characterization-first execution is the safest path."
systematic-debugging,ours,6,Debugging & Optimization,,,debugging,singleton,in-scope,.claude/skills/systematic-debugging/SKILL.md,24,"Use for bugs, failing tests, broken integrations, or confusing behavior before proposing fixes."
check-invariants,ours,7,Review & Completion Assurance,,,completion-gate,complements,in-scope,.codex/skills/check-invariants/SKILL.md,15,"Run mechanically checkable invariants from the Codex project overlay and report pass or fail. Use when asked to check project invariants, validate repo structure, or audit whether documented constraints still match the working tree."
document-review,ours,7,Review & Completion Assurance,,,adversarial-scrutiny,complements,in-scope,.claude/skills/document-review/SKILL.md,22,"Use when a requirements or plan document exists and needs a focused review for gaps, scope bloat, missing constraints, or risky assumptions."
verification-before-completion,ours,7,Review & Completion Assurance,5,Testing & Runtime Validation,completion-gate,complements,in-scope,.claude/skills/verification-before-completion/SKILL.md,20,"Use before claiming a change is complete, fixed, or ready. Requires fresh verification evidence."
agent-matrix,ours,10,"Orchestration, Handoff & Context Continuity",11,Harness Routing & Agent-System Authoring,subagent-dispatch,complements,in-scope,.claude/skills/agent-matrix/SKILL.md,130,"Select, validate, and invoke Claude Code or Codex subagents from the repository Agent Matrix catalog. Use when choosing a subagent model, effort, context mode, tool access, permission mode, capability configuration, or skill set; when rejecting undeclared values; or when testing runtime support without creating Cartesian agent-definition files."
codex-runner,ours,10,"Orchestration, Handoff & Context Continuity",,,subagent-dispatch,complements,in-scope,mvp-harness/plugins/codex-adapter/skills/codex-runner/SKILL.md,87,"Use to delegate a coding, analysis or research task to OpenAI Codex (gpt-5.x) from Claude Code — for a critique, an independent implementation or diagnosis pass, or to parallelize work across multiple Codex instances. Trigger when the user asks to ""run Codex"", ""ask Codex"", ""use Codex"", get a Codex review, or hand a task to Codex."
model-council,ours,10,"Orchestration, Handoff & Context Continuity",,,subagent-dispatch,complements,in-scope,.claude/skills/model-council/SKILL.md,34,"Use when the user asks to run one task through named council members with a named judge — several agents/models each solving the same task independently, then consolidated. TRIGGERS: 'model council', 'convene the council', 'have <agents> each take this and <agent> judge', any brainstorming/research/design/review request that names members and a judge. Do NOT run without user-named members and judge — ask for them in chat instead of choosing."
use-codex,ours,10,"Orchestration, Handoff & Context Continuity",,,subagent-dispatch,complements,in-scope,.codex/skills/use-codex/SKILL.md,57,"Choose and invoke the right Codex surface for project automation, reviews, rescue tasks, and cross-agent workflows. Use when asked how to run Codex from this repo, review local changes, launch noninteractive Codex work, or replace old Claude-plugin Codex commands with repo-native Codex CLI/app primitives."
harness-evaluate,ours,11,Harness Routing & Agent-System Authoring,,,harness-curation,singleton,in-scope,.claude/skills/harness-evaluate/SKILL.md,57,"Use when a reference-harness capability surfaced by /harness-scan drift or gap output needs a curation decision recorded in the ledger, or when an already-adopted capability needs syncing back. Use when curating reference_harnesses/* into mvp-harness."
migrate-claude-to-codex,ours,11,Harness Routing & Agent-System Authoring,9,"Release, Migration & Operations",migration,singleton,in-scope,.codex/skills/migrate-claude-to-codex/SKILL.md,66,"Migrate a Claude Code harness into Codex-native repo assets. Use when a repository has .claude agents, commands, skills, hooks, rules, docs, or project overlays that should become .codex skills, agents, hooks, rules, config, and project docs; also use when verifying whether Codex can discover the migrated harness."
adopt,ours,12,Repository Tooling & Guardrails,11,Harness Routing & Agent-System Authoring,harness-bootstrap,substitutes,in-scope,.codex/skills/adopt/SKILL.md,51,"Adopt this reusable agent setup to a repository by refreshing only the Codex project overlay files. Use when asked to adapt the harness to the current repo, update repo facts, or produce an adoption report without rewriting reusable core skills, agents, hooks, or rules."
harness-adopt,ours,12,Repository Tooling & Guardrails,11,Harness Routing & Agent-System Authoring,harness-bootstrap,substitutes,in-scope,mvp-harness/plugins/mvp-plugin/skills/harness-adopt/SKILL.md,73,"Adapt the freshly-copied agent harness to the current repository. Use after /mvp-plugin:adopt has laid the files down, or when asked to fill the project overlay, refresh repo facts, or produce a harness adoption report. Fills .claude/project/* and .codex/project/* from repo reality and recommends repo-specific automations — without rewriting the reusable core."
codebase-architecture-research,ours,13,Engineering Research & Durable Documentation,,,source-research,complements,in-scope,.codex/skills/codebase-architecture-research/SKILL.md,103,"Investigate a provided source codebase or external repository and produce architecture-focused research reports for future agents and human review. Use when asked to understand a codebase such as external/<name> or external/<name>, map its core architecture, runtime lifecycle, data/state model, inner workings, integration points, or create docs/research/codebases/name/ Markdown and HTML reports while avoiding excessive focus on cosmetic UI, release plumbing, generic tooling, or process layers unless they explain core behavior."
deep-research,ours,13,Engineering Research & Durable Documentation,1,"Discovery, Requirements & Decisions",source-research,complements,in-scope,.codex/skills/deep-research/SKILL.md,83,"Use only when the user explicitly invokes `$deep-research`, says ""use deep research"", or asks to run this specific skill. Produces decision-grade research with scoped depth, source strategy, synthesis, counterarguments, and HTML artifacts for human review. Do not trigger implicitly for ordinary analysis, brainstorming, codebase research, document review, cost estimates, or quick questions."
design-evolve,ours,13,Engineering Research & Durable Documentation,3,Architecture & Modeling,decision-records,singleton,in-scope,.claude/skills/design-evolve/SKILL.md,329,"Evolve versioned design documents by integrating new discussion files into core specs to produce a self-contained next version. Use this skill whenever the user wants to create a new version of design documents by merging discussions, decisions, or new specs into the existing core design docs. Triggers on phrases like ""integrate discussions"", ""new design version"", ""merge decisions into core"", ""evolve the docs"", ""create v2.6 from v2.5"", or any request to update design specifications based on recent discussions, decision logs, or scratchpads. Also use when the user says ""upgrade the design"", ""consolidate discussions into core"", or references a folder structure with core/ and discussions/ subfolders."
html-artifact,ours,13,Engineering Research & Durable Documentation,,,document-presentation,singleton,in-scope,.claude/skills/html-artifact/SKILL.md,87,"Create polished single-file HTML artifacts as an alternative to markdown for documents meant to be read by humans. Use whenever the user asks for an implementation plan, status report, post-mortem, architecture doc, scaling analysis, capacity dashboard, research explainer, concept walkthrough, PR writeup, or other long-form documents that benefit from richer structure than markdown — KPI tiles, charts, tables, mockups, code blocks with copy buttons, collapsibles, SVG diagrams, or small interactive controls. Also use when the user asks for ""an HTML file"", ""HTML artifact"", ""HTML doc"", ""HTML version of this"", or ""a one-pager"". Do NOT use for React components, web apps, marketing pages, or visually expressive design (use frontend-design); for READMEs, docstrings, agent prompts, CLAUDE.md, or anything destined for git/CLI/another agent (use markdown); or for content under ~50 lines where visual structure doesn't earn its weight."
cost-estimate,ours,14,"Human Learning, Content & Conversation",,,cost-analysis,singleton,out-of-scope,.claude/skills/cost-estimate/SKILL.md,192,"Estimate the development cost of a codebase based on lines of code, complexity, market rates, and team composition. Use this skill whenever the user asks about how much a codebase would cost to build, what a project is worth, development time estimates, engineering cost analysis, freelancer/contractor pricing for a project, or ROI of AI-assisted development. Also trigger when the user says things like ""how much would this cost to build from scratch"", ""estimate dev hours"", ""what's this codebase worth"", ""calculate development cost"", ""how long would this take a team to build"", or ""what would I pay a developer for this"". Even if the user just asks ""how much is this worth"" in the context of a codebase, use this skill."
i-have-adhd,ours,14,"Human Learning, Content & Conversation",,,conversational-repair,singleton,out-of-scope,.claude/skills/i-have-adhd/SKILL.md,122,"Shape output for a reader with ADHD. Use this skill whenever responding to ANY user message including coding tasks, debugging, explanations, planning, and casual conversation. Output should lead with concrete next actions, number multi-step work, externalize state across turns, suppress tangents, give specific time estimates, and make wins visible. Trigger even on casual messages and even when the user did not explicitly ask for brevity."
teach-session,ours,14,"Human Learning, Content & Conversation",,,learning-content,singleton,out-of-scope,.claude/skills/teach-session/SKILL.md,21,Effective teacher who makes the learner deeply understand the work produced in specific session.
