primary_bucket_id,primary_bucket,name,harness,capability_family,family_relation,repo_path,line_count,description
4,Implementation & Refactoring,incremental-implementation,agent-skills,increment-sizing,singleton,reference_harnesses/agent-skills/skills/incremental-implementation/SKILL.md,249,"Delivers changes incrementally. Use when implementing any feature or change that touches more than one file. Use when you're about to write a large amount of code at once, or when a task feels too big to land in one step."
4,Implementation & Refactoring,executing-plans,superpowers,plan-execution,substitutes,reference_harnesses/superpowers/skills/executing-plans/SKILL.md,64,Use when you have a written implementation plan to execute in a separate session with review checkpoints
4,Implementation & Refactoring,implement,mattpocock_skills,plan-execution,substitutes,reference_harnesses/mattpocock_skills/skills/engineering/implement/SKILL.md,15,Implement a piece of work based on a spec or set of tickets.
4,Implementation & Refactoring,subagent-driven-development,superpowers,plan-execution,substitutes,reference_harnesses/superpowers/skills/subagent-driven-development/SKILL.md,503,Use when executing implementation plans with independent tasks in the current session
4,Implementation & Refactoring,code-simplification,agent-skills,refactoring,genus,reference_harnesses/agent-skills/skills/code-simplification/SKILL.md,331,"Simplifies code for clarity. Use when refactoring code for clarity without changing behavior. Use when code works but is harder to read, maintain, or extend than it should be. Use when reviewing code that has accumulated unnecessary complexity."
4,Implementation & Refactoring,security-and-hardening,agent-skills,security-hardening,singleton,reference_harnesses/agent-skills/skills/security-and-hardening/SKILL.md,467,"Hardens code against vulnerabilities. Use when handling user input, authentication, data storage, or external integrations. Use when building any feature that accepts untrusted data, manages user sessions, or interacts with third-party services."
5,Testing & Runtime Validation,browser-testing-with-devtools,agent-skills,runtime-inspection,singleton,reference_harnesses/agent-skills/skills/browser-testing-with-devtools/SKILL.md,317,"Tests in real browsers via Chrome DevTools MCP. Use when building or debugging anything that runs in a browser. Use when you need to inspect the DOM, capture console errors, analyze network requests, profile performance, or verify visual output with real runtime data. Requires the chrome-devtools MCP server to be configured."
5,Testing & Runtime Validation,tdd,mattpocock_skills,tdd,substitutes,reference_harnesses/mattpocock_skills/skills/engineering/tdd/SKILL.md,38,"Test-driven development. Use when the user wants to build features or fix bugs test-first, mentions ""red-green-refactor"", or wants integration tests."
5,Testing & Runtime Validation,test-driven-development,agent-skills,tdd,substitutes,reference_harnesses/agent-skills/skills/test-driven-development/SKILL.md,398,"Drives development with tests. Use when implementing any logic, fixing any bug, or changing any behavior. Use when you need to prove that code works, when a bug report arrives, or when you're about to modify existing functionality."
5,Testing & Runtime Validation,test-driven-development,superpowers,tdd,substitutes,reference_harnesses/superpowers/skills/test-driven-development/SKILL.md,320,"Use when implementing any feature or bugfix, before writing implementation code"
6,Debugging & Optimization,debugging-and-error-recovery,agent-skills,debugging,substitutes,reference_harnesses/agent-skills/skills/debugging-and-error-recovery/SKILL.md,300,"Guides systematic root-cause debugging. Use when tests fail, builds break, behavior doesn't match expectations, or you encounter any unexpected error. Use when you need a systematic approach to finding and fixing the root cause rather than guessing."
6,Debugging & Optimization,diagnosing-bugs,mattpocock_skills,debugging,substitutes,reference_harnesses/mattpocock_skills/skills/engineering/diagnosing-bugs/SKILL.md,140,"Diagnosis loop for hard bugs and performance regressions. Use when the user says ""diagnose""/""debug this"", or reports something broken/throwing/failing/slow."
6,Debugging & Optimization,systematic-debugging,superpowers,debugging,substitutes,reference_harnesses/superpowers/skills/systematic-debugging/SKILL.md,283,"Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes"
6,Debugging & Optimization,performance-optimization,agent-skills,performance,singleton,reference_harnesses/agent-skills/skills/performance-optimization/SKILL.md,395,"Optimizes application performance across frontend, backend, queries, and databases. Use when performance requirements exist, when you suspect performance regressions, when Core Web Vitals or load times need improvement, when N+1 query patterns need fixing, or when profiling reveals bottlenecks."
7,Review & Completion Assurance,doubt-driven-development,agent-skills,adversarial-scrutiny,singleton,reference_harnesses/agent-skills/skills/doubt-driven-development/SKILL.md,243,"Subjects every non-trivial decision to a fresh-context adversarial review before it stands. Use when correctness matters more than speed, when working in unfamiliar code, when stakes are high (production, security-sensitive logic, irreversible operations), or any time a confident output would be cheaper to verify now than to debug later."
7,Review & Completion Assurance,code-review,mattpocock_skills,code-review,substitutes,reference_harnesses/mattpocock_skills/skills/engineering/code-review/SKILL.md,87,"Review the changes since a fixed point (commit, branch, tag, or merge-base) along two axes — Standards (does the code follow this repo's documented coding standards?) and Spec (does the code match what the originating issue/spec asked for?). Runs both reviews in parallel sub-agents and reports them side by side. Use when the user wants to review a branch, a PR, work-in-progress changes, or asks to ""review since X""."
7,Review & Completion Assurance,code-review-and-quality,agent-skills,code-review,substitutes,reference_harnesses/agent-skills/skills/code-review-and-quality/SKILL.md,396,"Conducts multi-axis code review. Use before merging any change. Use when reviewing code written by yourself, another agent, or a human. Use when you need to assess code quality across multiple dimensions before it enters the main branch."
7,Review & Completion Assurance,receiving-code-review,superpowers,code-review-protocol,complements,reference_harnesses/superpowers/skills/receiving-code-review/SKILL.md,205,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative agreement or blind implementation"
7,Review & Completion Assurance,requesting-code-review,superpowers,code-review-protocol,complements,reference_harnesses/superpowers/skills/requesting-code-review/SKILL.md,95,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements"
7,Review & Completion Assurance,verification-before-completion,superpowers,completion-gate,singleton,reference_harnesses/superpowers/skills/verification-before-completion/SKILL.md,120,"Use when about to claim work is complete, fixed, or passing, before committing or creating PRs - requires running verification commands and confirming output before making any success claims; evidence before assertions always"
8,Version Control & Change Integration,finishing-a-development-branch,superpowers,branch-integration,singleton,reference_harnesses/superpowers/skills/finishing-a-development-branch/SKILL.md,201,"Use when implementation is complete, all tests pass, and you need to decide how to integrate the work"
8,Version Control & Change Integration,git-workflow-and-versioning,agent-skills,git-mechanics,genus,reference_harnesses/agent-skills/skills/git-workflow-and-versioning/SKILL.md,355,"Structures git workflow practices. Use when making any code change. Use when committing, branching, resolving conflicts, or when you need to organize work across multiple parallel streams. Use when cutting a release, choosing a semantic version bump, tagging, or writing a changelog."
8,Version Control & Change Integration,resolving-merge-conflicts,mattpocock_skills,git-mechanics,genus,reference_harnesses/mattpocock_skills/skills/engineering/resolving-merge-conflicts/SKILL.md,14,Use when you need to resolve an in-progress git merge/rebase conflict.
8,Version Control & Change Integration,using-git-worktrees,superpowers,workspace-isolation,singleton,reference_harnesses/superpowers/skills/using-git-worktrees/SKILL.md,167,Use when starting feature work that needs isolation from current workspace or before executing implementation plans - ensures an isolated workspace exists via native tools or git worktree fallback
9,"Release, Migration & Operations",wizard,mattpocock_skills,human-in-the-loop,genus,reference_harnesses/mattpocock_skills/skills/engineering/wizard/SKILL.md,44,"Generate an interactive bash wizard that walks a human through steps only they can perform. Use when provisioning infrastructure, setting up credentials or CI secrets, walking an unfamiliar third-party dashboard, or running a one-off migration or cutover. Don't invoke this for steps the agent can perform itself."
9,"Release, Migration & Operations",deprecation-and-migration,agent-skills,migration,singleton,reference_harnesses/agent-skills/skills/deprecation-and-migration/SKILL.md,247,"Manages deprecation and migration. Use when removing old systems, APIs, or features. Use when migrating users from one implementation to another. Use when deciding whether to maintain or sunset existing code."
9,"Release, Migration & Operations",observability-and-instrumentation,agent-skills,observability,singleton,reference_harnesses/agent-skills/skills/observability-and-instrumentation/SKILL.md,203,"Instruments code so production behavior is visible and diagnosable. Use when adding logging, metrics, tracing, or alerting. Use when shipping any feature that runs in production and you need evidence it works. Use when production issues are reported but you can't tell what happened from the available data."
9,"Release, Migration & Operations",ci-cd-and-automation,agent-skills,pipeline-automation,singleton,reference_harnesses/agent-skills/skills/ci-cd-and-automation/SKILL.md,390,"Automates CI/CD pipeline setup. Use when setting up or modifying build and deployment pipelines. Use when you need to automate quality gates, configure test runners in CI, or establish deployment strategies."
9,"Release, Migration & Operations",shipping-and-launch,agent-skills,release-management,singleton,reference_harnesses/agent-skills/skills/shipping-and-launch/SKILL.md,310,"Prepares production launches. Use when preparing to deploy to production. Use when you need a pre-launch checklist, when setting up monitoring, when planning a staged rollout, or when you need a rollback strategy."
10,"Orchestration, Handoff & Context Continuity",context-engineering,agent-skills,context-curation,singleton,reference_harnesses/agent-skills/skills/context-engineering/SKILL.md,289,"Optimizes agent context setup. Use when starting a new session, when agent output quality degrades, when switching between tasks, or when you need to configure rules files and context for a project."
10,"Orchestration, Handoff & Context Continuity",handoff,mattpocock_skills,handoff,substitutes,reference_harnesses/mattpocock_skills/skills/productivity/handoff/SKILL.md,16,Compact the current conversation into a handoff document for another agent to pick up.
10,"Orchestration, Handoff & Context Continuity",dispatching-parallel-agents,superpowers,subagent-dispatch,singleton,reference_harnesses/superpowers/skills/dispatching-parallel-agents/SKILL.md,167,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies
11,Harness Routing & Agent-System Authoring,writing-for-agents,mattpocock_skills,agent-doc-authoring,substitutes,reference_harnesses/mattpocock_skills/skills/productivity/writing-for-agents/SKILL.md,81,"Writing documents for agents. Use when creating or editing skills, or modifying AGENTS.md or CLAUDE.md."
11,Harness Routing & Agent-System Authoring,writing-skills,superpowers,agent-doc-authoring,substitutes,reference_harnesses/superpowers/skills/writing-skills/SKILL.md,677,"Use when creating new skills, editing existing skills, or verifying skills work before deployment"
11,Harness Routing & Agent-System Authoring,ask-matt,mattpocock_skills,skill-routing,substitutes,reference_harnesses/mattpocock_skills/skills/engineering/ask-matt/SKILL.md,90,Ask which skill or flow fits your situation. A router over the skills in this repo.
11,Harness Routing & Agent-System Authoring,using-agent-skills,agent-skills,skill-routing,substitutes,reference_harnesses/agent-skills/skills/using-agent-skills/SKILL.md,191,Discovers and invokes agent skills. Use when starting a session or when you need to discover which skill applies to the current task. This is the meta-skill that governs how all other skills are discovered and invoked.
11,Harness Routing & Agent-System Authoring,using-superpowers,superpowers,skill-routing,substitutes,reference_harnesses/superpowers/skills/using-superpowers/SKILL.md,62,"Use when starting any conversation - establishes how to find and use skills, requiring skill invocation before ANY response including clarifying questions"
12,Repository Tooling & Guardrails,setup-matt-pocock-skills,mattpocock_skills,harness-bootstrap,singleton,reference_harnesses/mattpocock_skills/skills/engineering/setup-matt-pocock-skills/SKILL.md,116,"Configure this repo for the engineering skills — set up its issue tracker, triage label vocabulary, and domain doc layout. Run once before first use of the other engineering skills."
13,Engineering Research & Durable Documentation,documentation-and-adrs,agent-skills,decision-records,singleton,reference_harnesses/agent-skills/skills/documentation-and-adrs/SKILL.md,288,"Records decisions and documentation. Use when making architectural decisions, changing public APIs, shipping features, or when you need to record context that future engineers and agents will need to understand the codebase."
13,Engineering Research & Durable Documentation,research,mattpocock_skills,source-research,singleton,reference_harnesses/mattpocock_skills/skills/engineering/research/SKILL.md,12,"Investigate a question against high-trust primary sources and capture the findings as a Markdown file in the repo. Use when the user wants a topic researched, docs or API facts gathered, or reading legwork delegated to a background agent."
14,"Human Learning, Content & Conversation",wait-what,mattpocock_skills,conversational-repair,singleton,reference_harnesses/mattpocock_skills/skills/productivity/wait-what/SKILL.md,7,Stop. That last message did not land — re-pitch it.
14,"Human Learning, Content & Conversation",teach,mattpocock_skills,learning-content,genus,reference_harnesses/mattpocock_skills/skills/productivity/teach/SKILL.md,140,"Teach the user a new skill or concept, within this workspace."
