harness,kind,category,name,covered,our_equivalent,similar_to,decision,path,description
agent-skills,skill,skills,code-review-and-quality,no,,,adopted,skills/code-review-and-quality/SKILL.md,"Conducts multi-axis code review. Use before merging any change. Use when reviewing code written by yourself, another agent, or a human. Use when you need to assess code quality across multiple dimensions before it enters the main branch."
agent-skills,skill,skills,code-simplification,no,,,adopted,skills/code-simplification/SKILL.md,"Simplifies code for clarity. Use when refactoring code for clarity without changing behavior. Use when code works but is harder to read, maintain, or extend than it should be. Use when reviewing code that has accumulated unnecessary complexity."
agent-skills,skill,skills,context-engineering,no,,,rejected,skills/context-engineering/SKILL.md,"Optimizes agent context setup. Use when starting a new session, when agent output quality degrades, when switching between tasks, or when you need to configure rules files and context for a project."
agent-skills,skill,skills,debugging-and-error-recovery,no,,,adopted,skills/debugging-and-error-recovery/SKILL.md,"Guides systematic root-cause debugging. Use when tests fail, builds break, behavior doesn't match expectations, or you encounter any unexpected error. Use when you need a systematic approach to finding and fixing the root cause rather than guessing."
agent-skills,skill,skills,deprecation-and-migration,no,,,deferred,skills/deprecation-and-migration/SKILL.md,"Manages deprecation and migration. Use when removing old systems, APIs, or features. Use when migrating users from one implementation to another. Use when deciding whether to maintain or sunset existing code."
agent-skills,skill,skills,documentation-and-adrs,no,,,deferred,skills/documentation-and-adrs/SKILL.md,"Records decisions and documentation. Use when making architectural decisions, changing public APIs, shipping features, or when you need to record context that future engineers and agents will need to understand the codebase."
agent-skills,skill,skills,doubt-driven-development,no,,subagent-driven-development (86%),adopted,skills/doubt-driven-development/SKILL.md,"Subjects every non-trivial decision to a fresh-context adversarial review before it stands. Use when correctness matters more than speed, when working in unfamiliar code, when stakes are high (production, security-sensitive logic, irreversible operations), or any time a confident output would be cheaper to verify now than to debug later."
agent-skills,skill,skills,frontend-ui-engineering,no,,,deferred,skills/frontend-ui-engineering/SKILL.md,"Builds production-quality, accessible, responsive user-facing UIs. Use when building or modifying interfaces and pages, creating components, implementing layouts, meeting WCAG accessibility requirements, managing state, or when the output needs to look and feel production-quality rather than AI-generated."
agent-skills,skill,skills,git-workflow-and-versioning,no,,,rejected,skills/git-workflow-and-versioning/SKILL.md,"Structures git workflow practices. Use when making any code change. Use when committing, branching, resolving conflicts, or when you need to organize work across multiple parallel streams. Use when cutting a release, choosing a semantic version bump, tagging, or writing a changelog."
agent-skills,skill,skills,idea-refine,no,,,adopted,skills/idea-refine/SKILL.md,"Refines raw ideas into sharp, actionable concepts through structured divergent and convergent thinking. Use when an idea is still vague, when you need to stress-test assumptions before committing to a plan, or when you want to expand options before converging on one. Triggers on ""ideate"", ""refine this idea"", or ""stress-test my plan""."
agent-skills,skill,skills,incremental-implementation,no,,,deferred,skills/incremental-implementation/SKILL.md,"Delivers changes incrementally. Use when implementing any feature or change that touches more than one file. Use when you're about to write a large amount of code at once, or when a task feels too big to land in one step."
agent-skills,skill,skills,interview-me,no,,,adopted,skills/interview-me/SKILL.md,"Extracts what the user actually wants instead of what they think they should want. Achieves this through one-question-at-a-time interview until ~95% confidence about the underlying intent. Use when an ask is underspecified (""build me X"" without ""for whom"" or ""why now""), when the user explicitly invokes (""interview me"", ""grill me"", ""are we sure?"", ""stress-test my thinking""), or when you catch yourself silently filling in ambiguous requirements before any plan, spec, or code exists."
agent-skills,skill,skills,observability-and-instrumentation,no,,,deferred,skills/observability-and-instrumentation/SKILL.md,"Instruments code so production behavior is visible and diagnosable. Use when adding logging, metrics, tracing, or alerting. Use when shipping any feature that runs in production and you need evidence it works. Use when production issues are reported but you can't tell what happened from the available data."
agent-skills,skill,skills,performance-optimization,no,,,deferred,skills/performance-optimization/SKILL.md,"Optimizes application performance across frontend, backend, queries, and databases. Use when performance requirements exist, when you suspect performance regressions, when Core Web Vitals or load times need improvement, when N+1 query patterns need fixing, or when profiling reveals bottlenecks."
agent-skills,skill,skills,planning-and-task-breakdown,no,,,adopted,skills/planning-and-task-breakdown/SKILL.md,"Breaks work into ordered tasks. Use when you have a spec or clear requirements and need to break work into implementable tasks. Use when a task feels too large to start, when you need to estimate scope, or when parallel work is possible."
agent-skills,skill,skills,security-and-hardening,no,,,deferred,skills/security-and-hardening/SKILL.md,"Hardens code against vulnerabilities. Use when handling user input, authentication, data storage, or external integrations. Use when building any feature that accepts untrusted data, manages user sessions, or interacts with third-party services."
agent-skills,skill,skills,shipping-and-launch,no,,,deferred,skills/shipping-and-launch/SKILL.md,"Prepares production launches. Use when preparing to deploy to production. Use when you need a pre-launch checklist, when setting up monitoring, when planning a staged rollout, or when you need a rollback strategy."
agent-skills,skill,skills,source-driven-development,no,,subagent-driven-development (85%),adopted,skills/source-driven-development/SKILL.md,"Grounds every implementation decision in official documentation. Use when you want authoritative, source-cited code free from outdated patterns. Use when building with any framework or library where correctness matters."
agent-skills,skill,skills,spec-driven-development,no,,test-driven-development (87%),adopted,skills/spec-driven-development/SKILL.md,"Creates specs before coding. Use when starting a new project, feature, or significant change and no specification exists yet. Use when requirements are unclear, ambiguous, or only exist as a vague idea."
agent-skills,skill,skills,test-driven-development,yes,skill:skills/test-driven-development,,adopted,skills/test-driven-development/SKILL.md,"Drives development with tests. Use when implementing any logic, fixing any bug, or changing any behavior. Use when you need to prove that code works, when a bug report arrives, or when you're about to modify existing functionality."
agent-skills,skill,skills,using-agent-skills,no,,,rejected,skills/using-agent-skills/SKILL.md,Discovers and invokes agent skills. Use when starting a session or when you need to discover which skill applies to the current task. This is the meta-skill that governs how all other skills are discovered and invoked.
claude-code-best-practice,agent,agents,code-reviewer,yes,agent:agents/code-reviewer,,,development-workflows/rpi/.claude/agents/code-reviewer.md,"Meticulous, constructive reviewer for correctness, clarity, security, and maintainability."
claude-code-best-practice,agent,agents,constitutional-validator,no,,,,development-workflows/rpi/.claude/agents/constitutional-validator.md,"Validates roadmap items, features, and technical decisions against the project's constitution, principles, and core values. Ensures all proposals align with the mission, established methodology, and design principles before implementation proceeds."
claude-code-best-practice,agent,agents,development-workflows-research-agent,no,,,,.claude/agents/development-workflows-research-agent.md,"Research agent that fetches GitHub repos, counts agents/skills/commands, gets star counts, and analyzes Claude Code workflow repositories"
claude-code-best-practice,agent,agents,documentation-analyst-writer,no,,,,development-workflows/rpi/.claude/agents/documentation-analyst-writer.md,"Use this agent when you need to analyze existing documentation and create new or updated documentation that strictly adheres to project-specific documentation standards defined in claude.md. This agent excels at maintaining consistency with established documentation patterns, ensuring technical accuracy, and producing clear, well-structured documentation."
claude-code-best-practice,agent,agents,presentation-curator,no,,,,.claude/agents/presentation-curator.md,"PROACTIVELY use this agent whenever the user wants to update, modify, or fix the presentation slides, structure, styling, or weights"
claude-code-best-practice,agent,agents,product-manager,no,,,,development-workflows/rpi/.claude/agents/product-manager.md,"Turns a high-level ask into a crisp, exec-ready PRD with acceptance criteria and scope."
claude-code-best-practice,agent,agents,requirement-parser,no,,,,development-workflows/rpi/.claude/agents/requirement-parser.md,"Analyzes feature request descriptions and extracts structured requirements, goals, constraints, and metadata for downstream planning agents."
claude-code-best-practice,agent,agents,senior-software-engineer,no,,,,development-workflows/rpi/.claude/agents/senior-software-engineer.md,"Pragmatic IC who plans sanely, ships small reversible slices with tests, and writes clear PRs."
claude-code-best-practice,agent,agents,technical-cto-advisor,no,,,,development-workflows/rpi/.claude/agents/technical-cto-advisor.md,"Use this agent to align technological decisions with engineering principles and organizational standards. This agent acts as a CTO, evaluating technical recommendations against established engineering frameworks, risk assessment methodologies, and business alignment criteria before documentation creation. It ensures all technical decisions follow systematic methodology, evidence-based risk reduction, and AI-first development principles while maintaining alignment with venture success metrics."
claude-code-best-practice,agent,agents,time-agent,no,,,,agent-teams/.claude/agents/time-agent.md,"Use this agent to fetch the current time for Dubai, UAE (Asia/Dubai timezone, UTC+4). This agent fetches real-time Dubai time using its preloaded time-fetcher skill."
claude-code-best-practice,agent,agents,time-agent,no,,,,.claude/agents/time-agent.md,"Use this agent to display the current time in Pakistan Standard Time (PKT, UTC+5)."
claude-code-best-practice,agent,agents,ux-designer,no,,,,development-workflows/rpi/.claude/agents/ux-designer.md,"Produces a concise, accessible UX brief with flows, states, and annotations."
claude-code-best-practice,agent,agents,weather-agent,no,,,,.claude/agents/weather-agent.md,"Use this agent PROACTIVELY when you need to fetch weather data for Dubai, UAE. This agent fetches real-time temperature from Open-Meteo using its preloaded weather-fetcher skill."
claude-code-best-practice,agent,best-practice,workflow-claude-commands-agent,no,,,,.claude/agents/workflows/best-practice/workflow-claude-commands-agent.md,"Research agent that fetches Claude Code docs, reads the local commands report, and analyzes drift"
claude-code-best-practice,agent,best-practice,workflow-claude-settings-agent,no,,,,.claude/agents/workflows/best-practice/workflow-claude-settings-agent.md,"Research agent that fetches Claude Code docs, reads the local settings report, and analyzes drift"
claude-code-best-practice,agent,best-practice,workflow-claude-skills-agent,no,,,,.claude/agents/workflows/best-practice/workflow-claude-skills-agent.md,"Research agent that fetches Claude Code docs, reads the local skills report, and analyzes drift"
claude-code-best-practice,agent,best-practice,workflow-claude-subagents-agent,no,,,,.claude/agents/workflows/best-practice/workflow-claude-subagents-agent.md,"Research agent that fetches Claude Code docs, reads the local subagents report, and analyzes drift"
claude-code-best-practice,agent,best-practice,workflow-concepts-agent,no,,,,.claude/agents/workflows/best-practice/workflow-concepts-agent.md,"Research agent that fetches Claude Code docs and changelog, reads the local README CONCEPTS section, and analyzes drift"
claude-code-best-practice,agent,workflows,development-workflows-research-agent,no,,,,.claude/agents/workflows/development-workflows-research-agent.md,"Research agent that fetches GitHub repos, counts agents/skills/commands, gets star counts, and analyzes Claude Code workflow repositories"
claude-code-best-practice,command,best-practice,workflows/best-practice/workflow-claude-commands,no,,,,.claude/commands/workflows/best-practice/workflow-claude-commands.md,Track Claude Code commands report changes and find what needs updating
claude-code-best-practice,command,best-practice,workflows/best-practice/workflow-claude-settings,no,,,,.claude/commands/workflows/best-practice/workflow-claude-settings.md,Track Claude Code settings report changes and find what needs updating
claude-code-best-practice,command,best-practice,workflows/best-practice/workflow-claude-skills,no,,,,.claude/commands/workflows/best-practice/workflow-claude-skills.md,Track Claude Code skills report changes and find what needs updating
claude-code-best-practice,command,best-practice,workflows/best-practice/workflow-claude-subagents,no,,,,.claude/commands/workflows/best-practice/workflow-claude-subagents.md,Track Claude Code subagents report changes and find what needs updating
claude-code-best-practice,command,best-practice,workflows/best-practice/workflow-concepts,no,,,,.claude/commands/workflows/best-practice/workflow-concepts.md,Update the README CONCEPTS section with the latest Claude Code features and concepts
claude-code-best-practice,command,commands,time-command,no,,,,.claude/commands/time-command.md,"Display the current time in Pakistan Standard Time (PKT, UTC+5)"
claude-code-best-practice,command,commands,time-orchestrator,no,,,,agent-teams/.claude/commands/time-orchestrator.md,
claude-code-best-practice,command,commands,weather-orchestrator,no,,,,.claude/commands/weather-orchestrator.md,Fetch weather data for Dubai and create an SVG weather card
claude-code-best-practice,command,rpi,rpi/implement,no,,codex-implement (64%),,development-workflows/rpi/.claude/commands/rpi/implement.md,Execute phased implementation with validation gates
claude-code-best-practice,command,rpi,rpi/plan,no,,,,development-workflows/rpi/.claude/commands/rpi/plan.md,Create comprehensive planning documentation for a feature
claude-code-best-practice,command,rpi,rpi/research,no,,,,development-workflows/rpi/.claude/commands/rpi/research.md,Research and analyze feature viability - GO/NO-GO decision gate
claude-code-best-practice,command,workflows,workflows/development-workflows,no,,,,.claude/commands/workflows/development-workflows.md,Update the DEVELOPMENT WORKFLOWS table by researching all 10 workflow repos in parallel
claude-code-best-practice,hook,scripts,hooks.py,no,,,,.claude/hooks/scripts/hooks.py,
claude-code-best-practice,mcp,,context7,no,,,,.mcp.json#context7,npx
claude-code-best-practice,mcp,,deepwiki,no,,,,.mcp.json#deepwiki,npx
claude-code-best-practice,mcp,,playwright,no,,,,.mcp.json#playwright,npx
claude-code-best-practice,rule,rules,markdown-docs,no,,,,.claude/rules/markdown-docs.md,
claude-code-best-practice,rule,rules,presentation,no,,,,.claude/rules/presentation.md,
claude-code-best-practice,skill,presentation,presentation-structure,no,,,,.claude/skills/presentation/presentation-structure/SKILL.md,"Knowledge about the presentation slide format, weight system, navigation, and section structure"
claude-code-best-practice,skill,presentation,presentation-styling,no,,,,.claude/skills/presentation/presentation-styling/SKILL.md,"Knowledge about CSS classes, component patterns, and syntax highlighting in the presentation"
claude-code-best-practice,skill,presentation,vibe-to-agentic-framework,no,,,,.claude/skills/presentation/vibe-to-agentic-framework/SKILL.md,"The conceptual framework behind the presentation — what ""Vibe Coding to Agentic Engineering"" means, why the journey is structured the way it is, and how every slide fits the narrative arc"
claude-code-best-practice,skill,skills,agent-browser,no,,,,.claude/skills/agent-browser/SKILL.md,"Browser automation CLI for AI agents. Use when the user needs to interact with websites, including navigating pages, filling forms, clicking buttons, taking screenshots, extracting data, testing web apps, or automating any browser task. Triggers include requests to ""open a website"", ""fill out a form"", ""click a button"", ""take a screenshot"", ""scrape data from a page"", ""test this web app"", ""login to a site"", ""automate browser actions"", or any task requiring programmatic web interaction."
claude-code-best-practice,skill,skills,time-fetcher,no,,,,agent-teams/.claude/skills/time-fetcher/SKILL.md,Instructions for fetching current Dubai time via bash command
claude-code-best-practice,skill,skills,time-skill,no,,,,.claude/skills/time-skill/SKILL.md,"Display the current time in Pakistan Standard Time (PKT, UTC+5). Use when the user asks for the current time, Pakistan time, or PKT."
claude-code-best-practice,skill,skills,time-svg-creator,no,,,,agent-teams/.claude/skills/time-svg-creator/SKILL.md,Creates an SVG time card showing the current time for Dubai. Writes the SVG to agent-teams/output/dubai-time.svg and updates agent-teams/output/output.md.
claude-code-best-practice,skill,skills,weather-fetcher,no,,,,.claude/skills/weather-fetcher/SKILL.md,"Instructions for fetching current weather temperature data for Dubai, UAE from Open-Meteo API"
claude-code-best-practice,skill,skills,weather-svg-creator,no,,,,.claude/skills/weather-svg-creator/SKILL.md,Creates an SVG weather card showing the current temperature for Dubai. Writes the SVG to orchestration-workflow/weather.svg and updates orchestration-workflow/output.md.
claude-plugins-official,agent,agents,agent-creator,no,,,,plugins/plugin-dev/agents/agent-creator.md,|
claude-plugins-official,agent,agents,agent-sdk-verifier-py,no,,,,plugins/agent-sdk-dev/agents/agent-sdk-verifier-py.md,"Use this agent to verify that a Python Agent SDK application is properly configured, follows SDK best practices and documentation recommendations, and is ready for deployment or testing. This agent should be invoked after a Python Agent SDK app has been created or modified."
claude-plugins-official,agent,agents,agent-sdk-verifier-ts,no,,,,plugins/agent-sdk-dev/agents/agent-sdk-verifier-ts.md,"Use this agent to verify that a TypeScript Agent SDK application is properly configured, follows SDK best practices and documentation recommendations, and is ready for deployment or testing. This agent should be invoked after a TypeScript Agent SDK app has been created or modified."
claude-plugins-official,agent,agents,analyzer,no,,,,plugins/skill-creator/skills/skill-creator/agents/analyzer.md,
claude-plugins-official,agent,agents,architecture-critic,no,,,,plugins/code-modernization/agents/architecture-critic.md,"Reviews proposed target architectures and transformed code against modern best practice. Adversarial — looks for over-engineering, missed requirements, and simpler alternatives."
claude-plugins-official,agent,agents,business-rules-extractor,no,,,,plugins/code-modernization/agents/business-rules-extractor.md,"Mines domain logic, calculations, validations, and policies from legacy code into testable Given/When/Then specifications. Use when you need to separate ""what the business requires"" from ""how the old code happened to implement it."
claude-plugins-official,agent,agents,code-architect,no,,,,plugins/feature-dev/agents/code-architect.md,"Designs feature architectures by analyzing existing codebase patterns and conventions, then providing comprehensive implementation blueprints with specific files to create/modify, component designs, data flows, and build sequences"
claude-plugins-official,agent,agents,code-explorer,no,,,,plugins/feature-dev/agents/code-explorer.md,"Deeply analyzes existing codebase features by tracing execution paths, mapping architecture layers, understanding patterns and abstractions, and documenting dependencies to inform new development"
claude-plugins-official,agent,agents,code-reviewer,yes,agent:agents/code-reviewer,,,plugins/feature-dev/agents/code-reviewer.md,"Reviews code for bugs, logic errors, security vulnerabilities, code quality issues, and adherence to project conventions, using confidence-based filtering to report only high-priority issues that truly matter"
claude-plugins-official,agent,agents,code-reviewer,yes,agent:agents/code-reviewer,,,plugins/pr-review-toolkit/agents/code-reviewer.md,"Use this agent when you need to review code for adherence to project guidelines, style guides, and best practices. This agent should be used proactively after writing or modifying code, especially before committing changes or creating pull requests. It will check for style violations, potential issues, and ensure code follows the established patterns in CLAUDE.md. Also the agent needs to know which files to focus on for the review. In most cases this will be recently completed work which is unstaged in git (can be retrieved by running git diff). However there can be cases where this is different, make sure to specify this as the agent input when calling the agent. Typical triggers include the user asking for a review of a feature they just implemented, the assistant proactively reviewing its own newly-written code before declaring a task done, and a final pre-PR check before opening a pull request. See ""When to invoke"" in the agent body for worked scenarios."
claude-plugins-official,agent,agents,code-simplifier,no,,,,plugins/code-simplifier/agents/code-simplifier.md,"Simplifies and refines code for clarity, consistency, and maintainability while preserving all functionality. Focuses on recently modified code unless instructed otherwise."
claude-plugins-official,agent,agents,code-simplifier,no,,,,plugins/pr-review-toolkit/agents/code-simplifier.md,|
claude-plugins-official,agent,agents,comment-analyzer,no,,,,plugins/pr-review-toolkit/agents/comment-analyzer.md,"Use this agent when you need to analyze code comments for accuracy, completeness, and long-term maintainability. This includes (1) after generating large documentation comments or docstrings, (2) before finalizing a pull request that adds or modifies comments, (3) when reviewing existing comments for potential technical debt or comment rot, and (4) when you need to verify that comments accurately reflect the code they describe. See ""When to invoke"" in the agent body for worked scenarios."
claude-plugins-official,agent,agents,comparator,no,,,,plugins/skill-creator/skills/skill-creator/agents/comparator.md,
claude-plugins-official,agent,agents,conversation-analyzer,no,,,,plugins/hookify/agents/conversation-analyzer.md,"Use this agent when analyzing conversation transcripts to find behaviors worth preventing with hooks. Typical triggers include the /hookify command being invoked without arguments, or the user explicitly asking to look back at the current conversation and surface mistakes that should be prevented in the future. See ""When to invoke"" in the agent body for worked scenarios."
claude-plugins-official,agent,agents,grader,no,,,,plugins/skill-creator/skills/skill-creator/agents/grader.md,
claude-plugins-official,agent,agents,legacy-analyst,no,,,,plugins/code-modernization/agents/legacy-analyst.md,"Deep-reads legacy codebases (COBOL, Java, .NET, Node, anything) to build structural and behavioral understanding. Use for discovery, dependency mapping, dead-code detection, and ""what does this system actually do"" questions."
claude-plugins-official,agent,agents,plugin-validator,no,,,,plugins/plugin-dev/agents/plugin-validator.md,|
claude-plugins-official,agent,agents,pr-test-analyzer,no,,,,plugins/pr-review-toolkit/agents/pr-test-analyzer.md,"Use this agent when you need to review a pull request for test coverage quality and completeness. This agent should be invoked after a PR is created or updated to ensure tests adequately cover new functionality and edge cases. Typical triggers include the user asking whether tests on a freshly-created PR are thorough, an updated PR adding new logic that needs coverage analysis, and a final pre-merge double-check before marking a PR ready. See ""When to invoke"" in the agent body for worked scenarios."
claude-plugins-official,agent,agents,scaffolder,no,,,,plugins/code-modernization/agents/scaffolder.md,"Scaffolds one service of a reimagined system from the approved architecture and spec — project skeleton, domain model, API stubs, executable acceptance tests. Write access is scoped to its own service directory under modernized/."
claude-plugins-official,agent,agents,security-auditor,no,,,,plugins/code-modernization/agents/security-auditor.md,"Adversarial security reviewer — OWASP Top 10, CWE, dependency CVEs, secrets, injection. Use for security debt scanning and pre-modernization hardening."
claude-plugins-official,agent,agents,silent-failure-hunter,no,,,,plugins/pr-review-toolkit/agents/silent-failure-hunter.md,"Use this agent when reviewing code changes in a pull request to identify silent failures, inadequate error handling, and inappropriate fallback behavior. This agent should be invoked proactively after completing a logical chunk of work that involves error handling, catch blocks, fallback logic, or any code that could potentially suppress errors. Examples:\n\n<example>\nContext: Daisy has just finished implementing a new feature that fetches data from an API with fallback behavior.\nDaisy: ""I've added error handling to the API client. Can you review it?""\nAssistant: ""Let me use the silent-failure-hunter agent to thoroughly examine the error handling in your changes.""\n<Task tool invocation to launch silent-failure-hunter agent>\n</example>\n\n<example>\nContext: Daisy has created a PR with changes that include try-catch blocks.\nDaisy: ""Please review PR #1234""\nAssistant: ""I'll use the silent-failure-hunter agent to check for any silent failures or inadequate error handling in this PR.""\n<Task tool invocation to launch silent-failure-hunter agent>\n</example>\n\n<example>\nContext: Daisy has just refactored error handling code.\nDaisy: ""I've updated the error handling in the authentication module""\nAssistant: ""Let me proactively use the silent-failure-hunter agent to ensure the error handling changes don't introduce silent failures.""\n<Task tool invocation to launch silent-failure-hunter agent>\n</example>"
claude-plugins-official,agent,agents,skill-reviewer,no,,spec-reviewer (74%),,plugins/plugin-dev/agents/skill-reviewer.md,|
claude-plugins-official,agent,agents,test-engineer,no,,,,plugins/code-modernization/agents/test-engineer.md,"Writes characterization, contract, and equivalence tests that pin down legacy behavior so transformation can be proven correct. Use before any rewrite."
claude-plugins-official,agent,agents,type-design-analyzer,no,,,,plugins/pr-review-toolkit/agents/type-design-analyzer.md,"Use this agent when you need expert analysis of type design in your codebase. Specifically use it (1) when introducing a new type to ensure it follows best practices for encapsulation and invariant expression, (2) during pull request creation to review all types being added, and (3) when refactoring existing types to improve their design quality. The agent will provide both qualitative feedback and quantitative ratings on encapsulation, invariant expression, usefulness, and enforcement. See ""When to invoke"" in the agent body for worked scenarios."
claude-plugins-official,agent,agents,version-delta-analyst,no,,,,plugins/code-modernization/agents/version-delta-analyst.md,"Identifies the breaking changes between two versions of the SAME stack (e.g. .NET Framework 4.8 → .NET 8, Java 8 → 17/21, Spring Boot 2 → 3) that actually bite a given codebase, and drives the ecosystem's migration tooling. Use for same-stack uplifts, where code is preserved and tweaked — not rewritten from intent. (Note: some ""same-stack"" bumps are really rewrites — Python 2 → 3 with pervasive str/bytes, AngularJS → Angular — where minimal-diff fails; flag those for /modernize-transform.)"
claude-plugins-official,command,commands,cancel-ralph,no,,,,plugins/ralph-loop/commands/cancel-ralph.md,Cancel active Ralph Loop
claude-plugins-official,command,commands,clean_gone,no,,,,plugins/commit-commands/commands/clean_gone.md,"Cleans up all git branches marked as [gone] (branches that have been deleted on the remote but still exist locally), including removing associated worktrees."
claude-plugins-official,command,commands,code-review,no,,codex-review (96%),,plugins/code-review/commands/code-review.md,Code review a pull request
claude-plugins-official,command,commands,commit,no,,,,plugins/commit-commands/commands/commit.md,Create a git commit
claude-plugins-official,command,commands,commit-push-pr,no,,,,plugins/commit-commands/commands/commit-push-pr.md,"Commit, push, and open a PR"
claude-plugins-official,command,commands,configure,no,,,,plugins/hookify/commands/configure.md,Enable or disable hookify rules interactively
claude-plugins-official,command,commands,create-docker-mcp-tunnel,no,,,,plugins/mcp-tunnels/commands/create-docker-mcp-tunnel.md,Stand up an Anthropic MCP tunnel locally with Docker Compose so Claude can call a private MCP server (manual-credentials quickstart).
claude-plugins-official,command,commands,create-plugin,no,,,,plugins/plugin-dev/commands/create-plugin.md,"Guided end-to-end plugin creation workflow with component design, implementation, and validation"
claude-plugins-official,command,commands,example-command,no,,,,plugins/example-plugin/commands/example-command.md,An example slash command that demonstrates command frontmatter options (legacy format)
claude-plugins-official,command,commands,feature-dev,no,,,,plugins/feature-dev/commands/feature-dev.md,Guided feature development with codebase understanding and architecture focus
claude-plugins-official,command,commands,help,no,,,,plugins/hookify/commands/help.md,Get help with the hookify plugin
claude-plugins-official,command,commands,help,no,,,,plugins/ralph-loop/commands/help.md,Explain Ralph Loop plugin and available commands
claude-plugins-official,command,commands,hookify,no,,,,plugins/hookify/commands/hookify.md,Create hooks to prevent unwanted behaviors from conversation analysis or explicit instructions
claude-plugins-official,command,commands,list,no,,,,plugins/hookify/commands/list.md,List all configured hookify rules
claude-plugins-official,command,commands,maker-setup,no,,setup (62%),,plugins/cwc-makers/commands/maker-setup.md,"Onboard a Code-with-Claude Makers Cardputer — fetch the build-with-claude repo, flash firmware, and install the Claude Buddy apps."
claude-plugins-official,command,commands,modernize-assess,no,,,,plugins/code-modernization/commands/modernize-assess.md,"Full discovery & portfolio analysis of a legacy system — inventory, complexity, debt, relative scale"
claude-plugins-official,command,commands,modernize-brief,no,,,,plugins/code-modernization/commands/modernize-brief.md,Generate a phased Modernization Brief — the approved plan that transformation agents will execute against
claude-plugins-official,command,commands,modernize-extract-rules,no,,,,plugins/code-modernization/commands/modernize-extract-rules.md,"Mine business logic from legacy code into testable, human-readable rule specifications"
claude-plugins-official,command,commands,modernize-harden,no,,,,plugins/code-modernization/commands/modernize-harden.md,"Security vulnerability scan with a reviewable remediation patch — OWASP, CWE, CVE, secrets, injection"
