name,harness,primary_bucket_id,primary_bucket,secondary_bucket_ids,secondary_buckets,capability_family,family_relation,adoption_scope,canonical_path,line_count,description
domain-modeling,mattpocock_skills,3,Architecture & Modeling,13,Engineering Research & Durable Documentation,domain-language,singleton,in-scope,skills/engineering/domain-modeling/SKILL.md,74,"Build and sharpen a project's domain model. Use when the user wants to pin down domain terminology or a ubiquitous language, record an architectural decision, or when another skill needs to maintain the domain model."
improve-codebase-architecture,mattpocock_skills,3,Architecture & Modeling,7,Review & Completion Assurance,architecture-audit,singleton,in-scope,skills/engineering/improve-codebase-architecture/SKILL.md,71,"Scan a codebase for deepening opportunities, present them as a visual HTML report, then grill through whichever one you pick."
prototype,mattpocock_skills,3,Architecture & Modeling,1,"Discovery, Requirements & Decisions",design-validation,singleton,in-scope,skills/engineering/prototype/SKILL.md,26,"Build a throwaway prototype to answer a design question. Use when the user wants to sanity-check whether a state model or logic feels right, or explore what a UI should look like."
code-simplification,agent-skills,4,Implementation & Refactoring,7,Review & Completion Assurance,refactoring,genus,in-scope,skills/code-simplification/SKILL.md,331,"Simplifies code for clarity. Use when refactoring code for clarity without changing behavior. Use when code works but is harder to read, maintain, or extend than it should be. Use when reviewing code that has accumulated unnecessary complexity."
frontend-ui-engineering,agent-skills,4,Implementation & Refactoring,,,frontend-build,singleton,in-scope,skills/frontend-ui-engineering/SKILL.md,328,"Builds production-quality, accessible, responsive user-facing UIs. Use when building or modifying interfaces and pages, creating components, implementing layouts, meeting WCAG accessibility requirements, managing state, or when the output needs to look and feel production-quality rather than AI-generated."
incremental-implementation,agent-skills,4,Implementation & Refactoring,,,increment-sizing,singleton,in-scope,skills/incremental-implementation/SKILL.md,249,"Delivers changes incrementally. Use when implementing any feature or change that touches more than one file. Use when you're about to write a large amount of code at once, or when a task feels too big to land in one step."
security-and-hardening,agent-skills,4,Implementation & Refactoring,7,Review & Completion Assurance,security-hardening,singleton,in-scope,skills/security-and-hardening/SKILL.md,467,"Hardens code against vulnerabilities. Use when handling user input, authentication, data storage, or external integrations. Use when building any feature that accepts untrusted data, manages user sessions, or interacts with third-party services."
source-driven-development,agent-skills,4,Implementation & Refactoring,13,Engineering Research & Durable Documentation,doc-grounded-build,singleton,in-scope,skills/source-driven-development/SKILL.md,216,"Grounds every implementation decision in official documentation. Use when you want authoritative, source-cited code free from outdated patterns. Use when building with any framework or library where correctness matters."
implement,mattpocock_skills,4,Implementation & Refactoring,,,plan-execution,substitutes,in-scope,skills/engineering/implement/SKILL.md,15,Implement a piece of work based on a spec or set of tickets.
migrate-to-shoehorn,mattpocock_skills,4,Implementation & Refactoring,5,Testing & Runtime Validation,refactoring,genus,in-scope,skills/misc/migrate-to-shoehorn/SKILL.md,118,"Migrate test files from `as` type assertions to @total-typescript/shoehorn. Use when user mentions shoehorn, wants to replace `as` in tests, or needs partial test data."
executing-plans,superpowers,4,Implementation & Refactoring,10,"Orchestration, Handoff & Context Continuity",plan-execution,substitutes,in-scope,skills/executing-plans/SKILL.md,64,Use when you have a written implementation plan to execute in a separate session with review checkpoints
subagent-driven-development,superpowers,4,Implementation & Refactoring,10,"Orchestration, Handoff & Context Continuity",plan-execution,substitutes,in-scope,skills/subagent-driven-development/SKILL.md,503,Use when executing implementation plans with independent tasks in the current session
browser-testing-with-devtools,agent-skills,5,Testing & Runtime Validation,6,Debugging & Optimization,runtime-inspection,singleton,in-scope,skills/browser-testing-with-devtools/SKILL.md,317,"Tests in real browsers via Chrome DevTools MCP. Use when building or debugging anything that runs in a browser. Use when you need to inspect the DOM, capture console errors, analyze network requests, profile performance, or verify visual output with real runtime data. Requires the chrome-devtools MCP server to be configured."
test-driven-development,agent-skills,5,Testing & Runtime Validation,4,Implementation & Refactoring,tdd,substitutes,in-scope,skills/test-driven-development/SKILL.md,398,"Drives development with tests. Use when implementing any logic, fixing any bug, or changing any behavior. Use when you need to prove that code works, when a bug report arrives, or when you're about to modify existing functionality."
tdd,mattpocock_skills,5,Testing & Runtime Validation,4,Implementation & Refactoring,tdd,substitutes,in-scope,skills/engineering/tdd/SKILL.md,38,"Test-driven development. Use when the user wants to build features or fix bugs test-first, mentions ""red-green-refactor"", or wants integration tests."
test-driven-development,superpowers,5,Testing & Runtime Validation,4,Implementation & Refactoring,tdd,substitutes,in-scope,skills/test-driven-development/SKILL.md,320,"Use when implementing any feature or bugfix, before writing implementation code"
debugging-and-error-recovery,agent-skills,6,Debugging & Optimization,,,debugging,substitutes,in-scope,skills/debugging-and-error-recovery/SKILL.md,300,"Guides systematic root-cause debugging. Use when tests fail, builds break, behavior doesn't match expectations, or you encounter any unexpected error. Use when you need a systematic approach to finding and fixing the root cause rather than guessing."
performance-optimization,agent-skills,6,Debugging & Optimization,4,Implementation & Refactoring,performance,singleton,in-scope,skills/performance-optimization/SKILL.md,395,"Optimizes application performance across frontend, backend, queries, and databases. Use when performance requirements exist, when you suspect performance regressions, when Core Web Vitals or load times need improvement, when N+1 query patterns need fixing, or when profiling reveals bottlenecks."
diagnosing-bugs,mattpocock_skills,6,Debugging & Optimization,,,debugging,substitutes,in-scope,skills/engineering/diagnosing-bugs/SKILL.md,140,"Diagnosis loop for hard bugs and performance regressions. Use when the user says ""diagnose""/""debug this"", or reports something broken/throwing/failing/slow."
systematic-debugging,superpowers,6,Debugging & Optimization,,,debugging,substitutes,in-scope,skills/systematic-debugging/SKILL.md,283,"Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes"
code-review-and-quality,agent-skills,7,Review & Completion Assurance,,,code-review,substitutes,in-scope,skills/code-review-and-quality/SKILL.md,396,"Conducts multi-axis code review. Use before merging any change. Use when reviewing code written by yourself, another agent, or a human. Use when you need to assess code quality across multiple dimensions before it enters the main branch."
doubt-driven-development,agent-skills,7,Review & Completion Assurance,10,"Orchestration, Handoff & Context Continuity",adversarial-scrutiny,singleton,in-scope,skills/doubt-driven-development/SKILL.md,243,"Subjects every non-trivial decision to a fresh-context adversarial review before it stands. Use when correctness matters more than speed, when working in unfamiliar code, when stakes are high (production, security-sensitive logic, irreversible operations), or any time a confident output would be cheaper to verify now than to debug later."
code-review,mattpocock_skills,7,Review & Completion Assurance,,,code-review,substitutes,in-scope,skills/engineering/code-review/SKILL.md,87,"Review the changes since a fixed point (commit, branch, tag, or merge-base) along two axes — Standards (does the code follow this repo's documented coding standards?) and Spec (does the code match what the originating issue/spec asked for?). Runs both reviews in parallel sub-agents and reports them side by side. Use when the user wants to review a branch, a PR, work-in-progress changes, or asks to ""review since X""."
receiving-code-review,superpowers,7,Review & Completion Assurance,,,code-review-protocol,complements,in-scope,skills/receiving-code-review/SKILL.md,205,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative agreement or blind implementation"
requesting-code-review,superpowers,7,Review & Completion Assurance,10,"Orchestration, Handoff & Context Continuity",code-review-protocol,complements,in-scope,skills/requesting-code-review/SKILL.md,95,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements"
verification-before-completion,superpowers,7,Review & Completion Assurance,5,Testing & Runtime Validation,completion-gate,singleton,in-scope,skills/verification-before-completion/SKILL.md,120,"Use when about to claim work is complete, fixed, or passing, before committing or creating PRs - requires running verification commands and confirming output before making any success claims; evidence before assertions always"
git-workflow-and-versioning,agent-skills,8,Version Control & Change Integration,9,"Release, Migration & Operations",git-mechanics,genus,in-scope,skills/git-workflow-and-versioning/SKILL.md,355,"Structures git workflow practices. Use when making any code change. Use when committing, branching, resolving conflicts, or when you need to organize work across multiple parallel streams. Use when cutting a release, choosing a semantic version bump, tagging, or writing a changelog."
resolving-merge-conflicts,mattpocock_skills,8,Version Control & Change Integration,,,git-mechanics,genus,in-scope,skills/engineering/resolving-merge-conflicts/SKILL.md,14,Use when you need to resolve an in-progress git merge/rebase conflict.
finishing-a-development-branch,superpowers,8,Version Control & Change Integration,9,"Release, Migration & Operations",branch-integration,singleton,in-scope,skills/finishing-a-development-branch/SKILL.md,201,"Use when implementation is complete, all tests pass, and you need to decide how to integrate the work"
using-git-worktrees,superpowers,8,Version Control & Change Integration,10,"Orchestration, Handoff & Context Continuity",workspace-isolation,singleton,in-scope,skills/using-git-worktrees/SKILL.md,167,Use when starting feature work that needs isolation from current workspace or before executing implementation plans - ensures an isolated workspace exists via native tools or git worktree fallback
ci-cd-and-automation,agent-skills,9,"Release, Migration & Operations",12,Repository Tooling & Guardrails,pipeline-automation,singleton,in-scope,skills/ci-cd-and-automation/SKILL.md,390,"Automates CI/CD pipeline setup. Use when setting up or modifying build and deployment pipelines. Use when you need to automate quality gates, configure test runners in CI, or establish deployment strategies."
deprecation-and-migration,agent-skills,9,"Release, Migration & Operations",3,Architecture & Modeling,migration,singleton,in-scope,skills/deprecation-and-migration/SKILL.md,247,"Manages deprecation and migration. Use when removing old systems, APIs, or features. Use when migrating users from one implementation to another. Use when deciding whether to maintain or sunset existing code."
observability-and-instrumentation,agent-skills,9,"Release, Migration & Operations",6,Debugging & Optimization,observability,singleton,in-scope,skills/observability-and-instrumentation/SKILL.md,203,"Instruments code so production behavior is visible and diagnosable. Use when adding logging, metrics, tracing, or alerting. Use when shipping any feature that runs in production and you need evidence it works. Use when production issues are reported but you can't tell what happened from the available data."
shipping-and-launch,agent-skills,9,"Release, Migration & Operations",,,release-management,singleton,in-scope,skills/shipping-and-launch/SKILL.md,310,"Prepares production launches. Use when preparing to deploy to production. Use when you need a pre-launch checklist, when setting up monitoring, when planning a staged rollout, or when you need a rollback strategy."
wizard,mattpocock_skills,9,"Release, Migration & Operations",10,"Orchestration, Handoff & Context Continuity",human-in-the-loop,genus,in-scope,skills/engineering/wizard/SKILL.md,44,"Generate an interactive bash wizard that walks a human through steps only they can perform. Use when provisioning infrastructure, setting up credentials or CI secrets, walking an unfamiliar third-party dashboard, or running a one-off migration or cutover. Don't invoke this for steps the agent can perform itself."
context-engineering,agent-skills,10,"Orchestration, Handoff & Context Continuity",11,Harness Routing & Agent-System Authoring,context-curation,singleton,in-scope,skills/context-engineering/SKILL.md,289,"Optimizes agent context setup. Use when starting a new session, when agent output quality degrades, when switching between tasks, or when you need to configure rules files and context for a project."
claude-handoff,mattpocock_skills,10,"Orchestration, Handoff & Context Continuity",,,handoff,substitutes,in-scope,skills/in-progress/claude-handoff/SKILL.md,18,Hand the current conversation off to a fresh background agent that picks up the work immediately.
handoff,mattpocock_skills,10,"Orchestration, Handoff & Context Continuity",,,handoff,substitutes,in-scope,skills/productivity/handoff/SKILL.md,16,Compact the current conversation into a handoff document for another agent to pick up.
dispatching-parallel-agents,superpowers,10,"Orchestration, Handoff & Context Continuity",,,subagent-dispatch,singleton,in-scope,skills/dispatching-parallel-agents/SKILL.md,167,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies
using-agent-skills,agent-skills,11,Harness Routing & Agent-System Authoring,,,skill-routing,substitutes,in-scope,skills/using-agent-skills/SKILL.md,191,Discovers and invokes agent skills. Use when starting a session or when you need to discover which skill applies to the current task. This is the meta-skill that governs how all other skills are discovered and invoked.
ask-matt,mattpocock_skills,11,Harness Routing & Agent-System Authoring,,,skill-routing,substitutes,in-scope,skills/engineering/ask-matt/SKILL.md,90,Ask which skill or flow fits your situation. A router over the skills in this repo.
writing-for-agents,mattpocock_skills,11,Harness Routing & Agent-System Authoring,13,Engineering Research & Durable Documentation,agent-doc-authoring,substitutes,in-scope,skills/productivity/writing-for-agents/SKILL.md,81,"Writing documents for agents. Use when creating or editing skills, or modifying AGENTS.md or CLAUDE.md."
using-superpowers,superpowers,11,Harness Routing & Agent-System Authoring,,,skill-routing,substitutes,in-scope,skills/using-superpowers/SKILL.md,62,"Use when starting any conversation - establishes how to find and use skills, requiring skill invocation before ANY response including clarifying questions"
writing-skills,superpowers,11,Harness Routing & Agent-System Authoring,13,Engineering Research & Durable Documentation,agent-doc-authoring,substitutes,in-scope,skills/writing-skills/SKILL.md,677,"Use when creating new skills, editing existing skills, or verifying skills work before deployment"
git-guardrails-claude-code,mattpocock_skills,12,Repository Tooling & Guardrails,8,Version Control & Change Integration,guardrail-install,genus,in-scope,skills/misc/git-guardrails-claude-code/SKILL.md,95,"Set up Claude Code hooks to block dangerous git commands (push, reset --hard, clean, branch -D, etc.) before they execute. Use when user wants to prevent destructive git operations, add git safety hooks, or block git push/reset in Claude Code."
setup-matt-pocock-skills,mattpocock_skills,12,Repository Tooling & Guardrails,11,Harness Routing & Agent-System Authoring,harness-bootstrap,singleton,in-scope,skills/engineering/setup-matt-pocock-skills/SKILL.md,116,"Configure this repo for the engineering skills — set up its issue tracker, triage label vocabulary, and domain doc layout. Run once before first use of the other engineering skills."
setup-pre-commit,mattpocock_skills,12,Repository Tooling & Guardrails,7,Review & Completion Assurance,guardrail-install,genus,in-scope,skills/misc/setup-pre-commit/SKILL.md,91,"Set up Husky pre-commit hooks with lint-staged (Prettier), type checking, and tests in the current repo. Use when user wants to add pre-commit hooks, set up Husky, configure lint-staged, or add commit-time formatting/typechecking/testing."
setup-ts-deep-modules,mattpocock_skills,12,Repository Tooling & Guardrails,3,Architecture & Modeling,guardrail-install,genus,in-scope,skills/in-progress/setup-ts-deep-modules/SKILL.md,102,"Wire dependency-cruiser into a TypeScript repo so each package is a deep module — implementation hidden in subfolders, reachable only through its entry-point files. User-invoked."
documentation-and-adrs,agent-skills,13,Engineering Research & Durable Documentation,3,Architecture & Modeling,decision-records,singleton,in-scope,skills/documentation-and-adrs/SKILL.md,288,"Records decisions and documentation. Use when making architectural decisions, changing public APIs, shipping features, or when you need to record context that future engineers and agents will need to understand the codebase."
research,mattpocock_skills,13,Engineering Research & Durable Documentation,1,"Discovery, Requirements & Decisions",source-research,singleton,in-scope,skills/engineering/research/SKILL.md,12,"Investigate a question against high-trust primary sources and capture the findings as a Markdown file in the repo. Use when the user wants a topic researched, docs or API facts gathered, or reading legwork delegated to a background agent."
scaffold-exercises,mattpocock_skills,14,"Human Learning, Content & Conversation",,,learning-content,genus,out-of-scope,skills/misc/scaffold-exercises/SKILL.md,106,"Create exercise directory structures with sections, problems, solutions, and explainers that pass linting. Use when user wants to scaffold exercises, create exercise stubs, or set up a new course section."
teach,mattpocock_skills,14,"Human Learning, Content & Conversation",,,learning-content,genus,out-of-scope,skills/productivity/teach/SKILL.md,140,"Teach the user a new skill or concept, within this workspace."
wait-what,mattpocock_skills,14,"Human Learning, Content & Conversation",,,conversational-repair,singleton,out-of-scope,skills/productivity/wait-what/SKILL.md,7,Stop. That last message did not land — re-pitch it.
writing-beats,mattpocock_skills,14,"Human Learning, Content & Conversation",,,prose-authoring,pipeline,out-of-scope,skills/in-progress/writing-beats/SKILL.md,67,"Writing, exploit — assemble raw material into a journey of beats, grounding each term before a beat leans on it."
writing-fragments,mattpocock_skills,14,"Human Learning, Content & Conversation",,,prose-authoring,pipeline,out-of-scope,skills/in-progress/writing-fragments/SKILL.md,79,"Writing, explore — mine raw fragments, no structure yet."
writing-shape,mattpocock_skills,14,"Human Learning, Content & Conversation",,,prose-authoring,pipeline,out-of-scope,skills/in-progress/writing-shape/SKILL.md,79,"Writing, exploit — shape raw material into an article, paragraph by paragraph."
