id,kind,category,name,harnesses,in_ours,fable_useful,fable_reason,fable_tag,gpt_useful,gpt_reason,gpt_tag,consensus,agree,description
agent:claudemax,agent,agents,claude-max,ours:.claude,yes,yes,Generalist delegate for hard cross-cutting tasks; core language-neutral orchestration capability.,agent-orchestration,yes,"Generalist delegation agent can support complex Python research, debugging, and implementation tasks.",agent-orchestration,keep,yes,"Maximally capable, do-anything generalist. Delegate the hardest, most open-ended, ambiguous, cross-cutting, or multi-step tasks here — deep research, architecture and design, end-to-end implementation, debugging, refactoring, data work, writing, analysis, and anything that needs the strongest model with the deepest reasoning. Use when no narrower specialist agent clearly fits, or when a task spans"
agent:codearchitect,agent,agents,code-architect,claude-plugins-official; everything-claude-code,,yes,Language-neutral architecture blueprinting from codebase patterns aids Python feature planning.,generic-workflow,yes,Generic architecture planning fits Python codebases and harness-driven implementation planning.,generic-workflow,keep,yes,"Designs feature architectures by analyzing existing codebase patterns and conventions, then providing comprehensive implementation blueprints with specific files to create/modify, component designs, data flows, and build sequences"
agent:codeexplorer,agent,agents,code-explorer,claude-plugins-official; everything-claude-code,,yes,Generic codebase tracing and architecture mapping; valuable before changes in any Python repo.,generic-workflow,yes,Generic codebase tracing and dependency mapping is valuable before Python changes.,generic-workflow,keep,yes,"Deeply analyzes existing codebase features by tracing execution paths, mapping architecture layers, understanding patterns and abstractions, and documenting dependencies to inform new development"
agent:codereviewer,agent,agents,code-reviewer,claude-code-best-practice; claude-plugins-official; everything-claude-code; superpowers; ours:.claude,yes,yes,Generic proactive code review against project guidelines; core capability for any workflow.,generic-workflow,yes,"Generic review agent improves quality across Python, shell, SQL, and docs changes.",generic-workflow,keep,yes,"Use this agent when you need to review code for adherence to project guidelines, style guides, and best practices. This agent should be used proactively after writing or modifying code, especially before committing changes or creating pull requests. It will check for style violations, potential issues, and ensure code follows the established patterns in CLAUDE.md. Also the agent needs to know whic"
agent:codesimplicityreviewer,agent,review,code-simplicity-reviewer,compound-engineering-plugin,,yes,YAGNI/simplicity final pass is language-neutral and counters common LLM overengineering.,generic-workflow,yes,YAGNI and simplification review is broadly useful for Python-centric maintenance.,generic-workflow,keep,yes,Final review pass to ensure code is as simple and minimal as possible. Use after implementation is complete to identify YAGNI violations and simplification opportunities.
agent:codesimplifier,agent,agents,code-simplifier,claude-plugins-official; everything-claude-code,,yes,Generic refactor-for-clarity agent preserving behavior; directly useful for Python code.,generic-workflow,yes,Generic refactoring for clarity and maintainability applies directly to Python projects.,generic-workflow,keep,yes,"Simplifies and refines code for clarity, consistency, and maintainability while preserving all functionality. Focuses on recently modified code unless instructed otherwise."
agent:coherencereviewer,agent,document-review,coherence-reviewer,compound-engineering-plugin,,yes,Consistency review of planning documents is language-neutral and improves plan quality.,docs,yes,Planning-document consistency review is useful for agent workflows and durable specs.,docs,keep,yes,"Reviews planning documents for internal consistency -- contradictions between sections, terminology drift, structural issues, and ambiguity where readers would diverge. Spawned by the document-review skill."
agent:correctnessreviewer,agent,review,correctness-reviewer,compound-engineering-plugin,,yes,Generic logic/edge-case/error-propagation review persona; high value for Python code.,generic-workflow,yes,"Logic, edge-case, and error-path review is highly valuable for Python changes.",generic-workflow,keep,yes,"Always-on code-review persona. Reviews code for logic errors, edge cases, state management bugs, error propagation failures, and intent-vs-implementation mismatches."
agent:dataintegrityguardian,agent,review,data-integrity-guardian,compound-engineering-plugin,,yes,Migration and data-model safety review is SQL-centric and language-neutral; fits Python backends.,sql,yes,"Database safety, constraints, transactions, and privacy are relevant around Python services.",sql,keep,yes,"Reviews database migrations, data models, and persistent data code for safety. Use when checking migration safety, data constraints, transaction boundaries, or privacy compliance."
agent:datamigrationexpert,agent,review,data-migration-expert,compound-engineering-plugin,,yes,Validates migrations/backfills against real data; useful for Python+SQL projects.,sql,yes,Migration and backfill validation is valuable for Python-backed database applications.,sql,keep,yes,"Validates data migrations, backfills, and production data transformations against reality. Use when PRs involve ID mappings, column renames, enum conversions, or schema changes."
agent:databasereviewer,agent,agents,database-reviewer,everything-claude-code,,yes,"PostgreSQL query, schema, and performance review; SQL is explicitly in scope.",sql,yes,"PostgreSQL query, schema, security, and performance review is useful with Python apps.",sql,keep,yes,"PostgreSQL database specialist for query optimization, schema design, security, and performance. Use PROACTIVELY when writing SQL, creating migrations, designing schemas, or troubleshooting database performance. Incorporates Supabase best practices."
agent:deploymentverificationagent,agent,review,deployment-verification-agent,compound-engineering-plugin,,yes,Go/No-Go checklists with SQL verification and rollback plans; generic DevOps value.,devops,yes,"Go/no-go checks, rollback plans, and SQL verification support safe Python service deployments.",devops,keep,yes,"Produces Go/No-Go deployment checklists with SQL verification queries, rollback procedures, and monitoring plans. Use when PRs touch production data, migrations, or risky data changes."
agent:docupdater,agent,agents,doc-updater,everything-claude-code,,yes,Generic codemap and documentation maintenance applies directly to Python repos,docs,yes,"Maintains codemaps, READMEs, and guides for agent navigation.",docs,keep,yes,"Documentation and codemap specialist. Use PROACTIVELY for updating codemaps and documentation. Runs /update-codemaps and /update-docs, generates docs/CODEMAPS/*, updates READMEs and guides."
agent:docslookup,agent,agents,docs-lookup,everything-claude-code,,yes,Context7-based current library docs lookup prevents invented APIs; language-neutral,docs,yes,"Fetches current library and API docs, preventing invented usage.",docs,keep,yes,"When the user asks how to use a library, framework, or API or needs up-to-date code examples, use Context7 MCP to fetch current documentation and return answers with examples. Invoke for docs/API/setup questions."
agent:docsresearcher,agent,agents,docs-researcher,ours:.claude,yes,yes,Fetches up-to-date SDK/API/CLI docs via Context7; core generic capability,docs,yes,"Checks current SDK, CLI, and package docs for correct implementation.",docs,keep,yes,"Fetches up-to-date library, framework, SDK, API, and CLI documentation via the Context7 MCP server. Use whenever you are unsure about a package's methods, signatures, config options, version-specific behavior, or migration steps — even for well-known libraries, since training data may be stale."
agent:documentationanalystwriter,agent,agents,documentation-analyst-writer,claude-code-best-practice,,yes,Writing docs that follow project standards is generic and useful,docs,yes,Creates and updates docs according to project standards.,docs,keep,yes,"Use this agent when you need to analyze existing documentation and create new or updated documentation that strictly adheres to project-specific documentation standards defined in claude.md. This agent excels at maintaining consistency with established documentation patterns, ensuring technical accuracy, and producing clear, well-structured documentation."
agent:fablemax,agent,agents,fable-max,ours:.claude,yes,yes,Max-effort generalist subagent for hard open-ended tasks; language-neutral orchestration,agent-orchestration,yes,"Generalist subagent for difficult research, architecture, and implementation work.",agent-orchestration,keep,yes,"Maximally capable, do-anything generalist running Fable 5 at maximum effort. Delegate the hardest, most open-ended, ambiguous, cross-cutting, or multi-step tasks here — deep research, architecture and design, end-to-end implementation, debugging, refactoring, data work, writing, analysis, and anything that needs the strongest model with the deepest reasoning. Use when no narrower specialist agent "
agent:fablexhigh,agent,agents,fable-xhigh,ours:.claude,yes,yes,"Bounded high-effort worker subagent; useful delegation tier, language-neutral",agent-orchestration,yes,Generalist subagent for substantial bounded implementation and analysis tasks.,agent-orchestration,keep,yes,"Capable generalist running Fable 5 at xhigh effort — one notch below max. Use for substantial bounded work (implementation legs, annotation drafts, focused analysis) where deep reasoning matters but max-effort depth is not required. Prefer fable-max only for the hardest open-ended tasks."
agent:feasibilityreviewer,agent,document-review,feasibility-reviewer,compound-engineering-plugin,,yes,"Plan feasibility review (architecture, dependencies, migration risk) is generic and valuable",generic-workflow,yes,"Reviews plans for architecture conflicts, dependency gaps, and implementation risk.",generic-workflow,keep,yes,"Evaluates whether proposed technical approaches in planning documents will survive contact with reality -- architecture conflicts, dependency gaps, migration risks, and implementability. Spawned by the document-review skill."
agent:frameworkdocsresearcher,agent,research,framework-docs-researcher,compound-engineering-plugin,,yes,"Official docs and version-constraint research for dependencies; generic, Python-applicable",docs,yes,Finds official docs and version constraints for dependencies.,docs,keep,yes,"Gathers comprehensive documentation and best practices for frameworks, libraries, or dependencies. Use when you need official docs, version-specific constraints, or implementation patterns."
agent:githistoryanalyzer,agent,research,git-history-analyzer,compound-engineering-plugin,,yes,Language-neutral git archaeology; useful context for understanding code evolution in Python repos.,git,yes,Git archaeology helps explain code decisions and regressions across Python projects.,git,keep,yes,"Performs archaeological analysis of git history to trace code evolution, identify contributors, and understand why code patterns exist. Use when you need historical context for code changes."
agent:harnessoptimizer,agent,agents,harness-optimizer,everything-claude-code,,yes,"Generic harness tuning for reliability, cost, throughput; directly relevant to agentic workflow.",agent-orchestration,yes,"Directly improves agent harness reliability, cost, and throughput.",agent-orchestration,keep,yes,"Analyze and improve the local agent harness configuration for reliability, cost, and throughput."
agent:issueintelligenceanalyst,agent,research,issue-intelligence-analyst,compound-engineering-plugin,,yes,Language-neutral GitHub issue pattern analysis; helpful for triage and ideation.,generic-workflow,yes,"GitHub issue analysis helps prioritize bugs, patterns, and roadmap decisions.",generic-workflow,keep,yes,"Fetches and analyzes GitHub issues to surface recurring themes, pain patterns, and severity trends. Use when understanding a project's issue landscape, analyzing bug patterns for ideation, or summarizing what users are reporting."
agent:kieranpythonreviewer,agent,review,kieran-python-reviewer,compound-engineering-plugin,,yes,Python-specific reviewer enforcing Pythonic clarity and type hints; core language fit.,python,yes,"Python-specific review for clarity, typing, and maintainability is directly useful.",python,keep,yes,"Conditional code-review persona, selected when the diff touches Python code. Reviews changes with Kieran's strict bar for Pythonic clarity, type hints, and maintainability."
agent:learningsresearcher,agent,research,learnings-researcher,compound-engineering-plugin,,yes,"Surfaces past solutions before implementing; language-neutral institutional memory, prevents repeated mistakes.",generic-workflow,yes,Surfaces prior solutions and prevents repeated mistakes in any codebase.,generic-workflow,keep,yes,Searches docs/solutions/ for relevant past solutions by frontmatter metadata. Use before implementing features or fixing problems to surface institutional knowledge and prevent repeated mistakes.
agent:legacyanalyst,agent,agents,legacy-analyst,claude-plugins-official,,yes,Language-agnostic legacy codebase discovery and dependency mapping; listed languages are incidental examples.,generic-workflow,yes,Generic legacy-system discovery and dependency mapping can help Python-adjacent migrations.,generic-workflow,keep,yes,"Deep-reads legacy codebases (COBOL, Java, .NET, Node, anything) to build structural and behavioral understanding. Use for discovery, dependency mapping, dead-code detection, and ""what does this system actually do"" questions."
agent:loopoperator,agent,agents,loop-operator,everything-claude-code,,yes,Generic autonomous-loop monitoring and safe intervention; fits agent orchestration workflow.,agent-orchestration,yes,Useful for monitoring autonomous coding loops and intervening safely.,agent-orchestration,keep,yes,"Operate autonomous agent loops, monitor progress, and intervene safely when loops stall."
agent:maintainabilityreviewer,agent,review,maintainability-reviewer,compound-engineering-plugin,,yes,"Language-neutral review persona targeting abstraction, dead code, coupling; valuable for Python reviews.",generic-workflow,yes,"Generic review lens catches abstraction, coupling, dead code, and naming issues across Python projects.",generic-workflow,keep,yes,"Always-on code-review persona. Reviews code for premature abstraction, unnecessary indirection, dead code, coupling between unrelated modules, and naming that obscures intent."
agent:patternrecognitionspecialist,agent,review,pattern-recognition-specialist,compound-engineering-plugin,,yes,Generic consistency/anti-pattern/duplication review applies directly to Python codebases.,generic-workflow,yes,"Design-pattern, duplication, naming, and consistency review is language-neutral and valuable.",generic-workflow,keep,yes,"Analyzes code for design patterns, anti-patterns, naming conventions, and duplication. Use when checking codebase consistency or verifying new code follows established patterns."
agent:performanceoracle,agent,review,performance-oracle,compound-engineering-plugin,,yes,"Language-neutral performance review: complexity, DB queries, memory, scalability.",generic-workflow,yes,"Algorithmic, database, memory, and scalability review directly helps Python systems.",generic-workflow,keep,yes,"Analyzes code for performance bottlenecks, algorithmic complexity, database queries, memory usage, and scalability. Use after implementing features or when performance concerns arise."
agent:performancereviewer,agent,review,performance-reviewer,compound-engineering-plugin,,yes,Conditional perf-review persona for DB/IO-heavy diffs; generic and Python-relevant.,generic-workflow,yes,"Conditional performance review for queries, loops, caching, and I/O fits Python projects well.",generic-workflow,keep,yes,"Conditional code-review persona, selected when the diff touches database queries, loop-heavy data transforms, caching layers, or I/O-intensive paths. Reviews code for runtime performance and scalability issues."
agent:planner,agent,agents,planner,everything-claude-code; ours:.claude,yes,yes,Core planning specialist for features/refactors; generic and central to workflow.,generic-workflow,yes,"Planning complex features, architecture, and refactors is core agent-coding workflow.",generic-workflow,keep,yes,"Expert planning specialist for complex features and refactoring. Use PROACTIVELY when users request feature implementation, architectural changes, or complex refactoring. Automatically activated for planning tasks."
agent:prcommentresolver,agent,workflow,pr-comment-resolver,compound-engineering-plugin,,yes,Automates resolving PR review threads with fixes and replies; language-neutral.,git,yes,Resolving PR review threads with fixes and summaries is broadly useful git workflow.,git,keep,yes,"Evaluates and resolves one or more related PR review threads -- assesses validity, implements fixes, and returns structured summaries with reply text. Spawned by the resolve-pr-feedback skill."
agent:prtestanalyzer,agent,agents,pr-test-analyzer,claude-plugins-official; everything-claude-code,,yes,PR test-coverage quality review is generic and directly useful for Python testing.,testing,yes,PR test coverage review is directly useful for Python project quality.,testing,keep,yes,"Use this agent when you need to review a pull request for test coverage quality and completeness. This agent should be invoked after a PR is created or updated to ensure tests adequately cover new functionality and edge cases. Typical triggers include the user asking whether tests on a freshly-created PR are thorough, an updated PR adding new logic that needs coverage analysis, and a final pre-mer"
agent:previouscommentsreviewer,agent,review,previous-comments-reviewer,compound-engineering-plugin,,yes,"Checks prior PR feedback is addressed; generic, complements review workflow.",git,yes,Checking whether prior PR feedback was addressed is useful review hygiene.,git,keep,yes,"Conditional code-review persona, selected when reviewing a PR that has existing review comments or review threads. Checks whether prior feedback has been addressed in the current diff."
agent:projectstandardsreviewer,agent,review,project-standards-reviewer,compound-engineering-plugin,,yes,Audits diffs against CLAUDE.md/AGENTS.md standards; directly fits this harness.,generic-workflow,yes,Auditing changes against project agent instructions and standards is highly useful.,generic-workflow,keep,yes,"Always-on code-review persona. Audits changes against the project's own CLAUDE.md and AGENTS.md standards -- frontmatter rules, reference inclusion, naming conventions, cross-platform portability, and tool selection policies."
agent:pythonreviewer,agent,agents,python-reviewer,everything-claude-code,,yes,"Python-specific reviewer covering PEP 8, type hints, security; directly matches the developer's stack.",python,yes,"Directly improves Python code quality, typing, security, and idioms.",python,keep,yes,"Expert Python code reviewer specializing in PEP 8 compliance, Pythonic idioms, type hints, security, and performance. Use for all Python code changes. MUST BE USED for Python projects."
agent:reliabilityreviewer,agent,review,reliability-reviewer,compound-engineering-plugin,,yes,"Language-neutral reliability review of retries, timeouts, async handlers; fits Python service work.",generic-workflow,yes,Generic production reliability review applies strongly to Python services and jobs.,generic-workflow,keep,yes,"Conditional code-review persona, selected when the diff touches error handling, retries, circuit breakers, timeouts, health checks, background jobs, or async handlers. Reviews code for production reliability and failure modes."
agent:reporesearchanalyst,agent,research,repo-research-analyst,compound-engineering-plugin,,yes,Generic codebase-onboarding research agent; useful for understanding conventions in any Python repo.,generic-workflow,yes,Repository onboarding and convention discovery are broadly useful for agent coding.,generic-workflow,keep,yes,"Conducts thorough research on repository structure, documentation, conventions, and implementation patterns. Use when onboarding to a new codebase or understanding project conventions."
agent:scopeguardianreviewer,agent,document-review,scope-guardian-reviewer,compound-engineering-plugin,,yes,Generic plan-review persona catching scope creep and premature abstraction; broadly valuable.,generic-workflow,yes,Plan scope review helps prevent overengineering in any agent-coding workflow.,docs,keep,yes,"Reviews planning documents for scope alignment and unjustified complexity -- challenges unnecessary abstractions, premature frameworks, and scope that exceeds stated goals. Spawned by the document-review skill."
agent:securityauditor,agent,agents,security-auditor,claude-plugins-official,,yes,Language-neutral OWASP/CVE/secrets auditing; applies directly to Python projects.,generic-workflow,yes,"Generic OWASP, CWE, CVE, secrets, and injection auditing applies to Python projects.",generic-workflow,keep,yes,"Adversarial security reviewer — OWASP Top 10, CWE, dependency CVEs, secrets, injection. Use for security debt scanning and pre-modernization hardening."
agent:securitylensreviewer,agent,document-review,security-lens-reviewer,compound-engineering-plugin,,yes,"Plan-level security review (auth, data exposure, threat model); generic and useful.",generic-workflow,yes,"Plan-level security review catches auth, exposure, and threat-model gaps early.",docs,keep,yes,"Evaluates planning documents for security gaps at the plan level -- auth/authz assumptions, data exposure risks, API surface vulnerabilities, and missing threat model elements. Spawned by the document-review skill."
agent:securityreviewer,agent,review,security-reviewer,compound-engineering-plugin; everything-claude-code,,yes,"Generic proactive security review for input handling, injection, secrets; fits Python workflow.",generic-workflow,yes,"Generic security review for inputs, auth, APIs, secrets, and crypto is valuable.",generic-workflow,keep,yes,"Security vulnerability detection and remediation specialist. Use PROACTIVELY after writing code that handles user input, authentication, API endpoints, or sensitive data. Flags secrets, SSRF, injection, unsafe crypto, and OWASP Top 10 vulnerabilities."
agent:sessionhistorian,agent,research,session-historian,compound-engineering-plugin,,yes,Generic cross-tool session-history search; surfaces prior learnings and failed approaches.,generic-workflow,yes,"Prior-session search preserves context, failed approaches, and reusable learnings.",agent-orchestration,keep,yes,"Searches Claude Code, Codex, and Cursor session history for related prior sessions about the same problem or topic. Use to surface investigation context, failed approaches, and learnings from previous sessions that the current session cannot see. Supports time-based queries for conversational use."
agent:silentfailurehunter,agent,agents,silent-failure-hunter,claude-plugins-official; everything-claude-code,,yes,Generic review for silent failures and bad fallbacks; matches fail-loud Python practices.,generic-workflow,yes,Silent failure and fallback review is highly relevant for Python service reliability.,testing,keep,yes,"Use this agent when reviewing code changes in a pull request to identify silent failures, inadequate error handling, and inappropriate fallback behavior. This agent should be invoked proactively after completing a logical chunk of work that involves error handling, catch blocks, fallback logic, or any code that could potentially suppress errors. Examples:\n\n<example>\nContext: Daisy has just fini"
agent:specflowanalyzer,agent,workflow,spec-flow-analyzer,compound-engineering-plugin,,yes,Language-neutral spec gap and edge-case analysis strengthens planning before implementation.,generic-workflow,yes,Finds requirement and user-flow gaps before implementation.,generic-workflow,keep,yes,"Analyzes specifications and feature descriptions for user flow completeness and gap identification. Use when a spec, plan, or feature description needs flow analysis, edge case discovery, or requirements validation."
agent:specreviewer,agent,agents,spec-reviewer,ours:.claude,yes,yes,Generic requirements-vs-implementation verification agent; fits any Python workflow.,generic-workflow,yes,Checks implementation against requirements and invariants before final review.,generic-workflow,keep,yes,"Verifies that implementation matches requirements, plan, and project invariants before code-quality review."
agent:tddguide,agent,agents,tdd-guide,everything-claude-code,,yes,Language-neutral TDD enforcement applies directly to Python pytest workflows.,testing,yes,"Supports test-first development for features, bug fixes, and refactors.",testing,keep,yes,"Test-Driven Development specialist enforcing write-tests-first methodology. Use PROACTIVELY when writing new features, fixing bugs, or refactoring code. Ensures 80%+ test coverage."
agent:testengineer,agent,agents,test-engineer,claude-plugins-official,,yes,Characterization/contract tests for legacy rewrites are language-neutral and valuable in Python.,testing,yes,Characterization and contract tests are valuable for safe Python refactors.,testing,keep,yes,"Writes characterization, contract, and equivalence tests that pin down legacy behavior so transformation can be proven correct. Use before any rewrite."
agent:testingreviewer,agent,review,testing-reviewer,compound-engineering-plugin,,yes,"Generic review of coverage gaps, weak assertions, brittle tests; directly useful for Python.",testing,yes,"Catches weak assertions, edge-case gaps, and brittle tests.",testing,keep,yes,"Always-on code-review persona. Reviews code for test coverage gaps, weak assertions, brittle implementation-coupled tests, and missing edge case coverage."
agent:typedesignanalyzer,agent,agents,type-design-analyzer,claude-plugins-official; everything-claude-code,,yes,"Type design and invariants apply to Python typing/Pydantic modeling, not one language.",generic-workflow,yes,Type and invariant design applies to Python models and APIs too.,generic-workflow,keep,yes,"Use this agent when you need expert analysis of type design in your codebase. Specifically use it (1) when introducing a new type to ensure it follows best practices for encapsulation and invariant expression, (2) during pull request creation to review all types being added, and (3) when refactoring existing types to improve their design quality. The agent will provide both qualitative feedback an"
command:adopt,command,commands,adopt,ours:.claude; mvp:mvp-plugin,yes,yes,Bootstraps the harness setup into a new repo; language-neutral onboarding workflow.,generic-workflow,yes,Useful for installing and adapting an agent harness to Python repositories.,agent-orchestration,keep,yes,"Adopt the agent harness into this repo — copy the .claude/.codex setup, init beads, then adapt the project overlay to this repo's reality."
command:aside,command,commands,aside,everything-claude-code,,yes,Answering side questions without derailing task context is broadly useful in agent sessions.,generic-workflow,yes,Preserves task context while answering side questions during coding sessions.,generic-workflow,keep,yes,Answer a quick side question without interrupting or losing context from the current task. Resume work automatically after answering.
command:checkinvariants,command,commands,check-invariants,ours:.claude,yes,yes,"Mechanically verifying project invariants is valuable, language-neutral quality gating.",generic-workflow,yes,"Runs repository invariants, valuable for harness health and structural verification.",testing,keep,yes,Run mechanically checkable invariants from the project overlay and report pass or fail.
command:cleangone,command,commands,clean_gone,claude-plugins-official,,yes,Pruning [gone] branches and worktrees is practical git hygiene for any project.,git,yes,"Cleans stale local branches and worktrees, useful generic git maintenance.",git,keep,yes,"Cleans up all git branches marked as [gone] (branches that have been deleted on the remote but still exist locally), including removing associated worktrees."
command:codereview,command,commands,code-review,claude-plugins-official; everything-claude-code,,yes,"Reviewing local diffs or PRs is core, language-neutral workflow value.",generic-workflow,yes,Local and PR code review are core to Python-centric development workflows.,git,keep,yes,Code review — local uncommitted changes or GitHub PR (pass PR number/URL for PR mode)
command:codex,command,commands,codex,mvp:codex-adapter,yes,yes,Delegating tasks to a second model gives independent perspective; language-neutral orchestration.,agent-orchestration,yes,Delegating tasks to Codex is useful generic agent orchestration.,agent-orchestration,keep,yes,Delegate a task or question to OpenAI Codex (gpt-5.x) and relay its answer.
command:codexcritique,command,commands,codex-critique,mvp:codex-adapter,yes,yes,Independent second opinion on designs/plans counters single-model blind spots.,agent-orchestration,yes,Read-only second opinions improve plans and design decisions across Python projects.,agent-orchestration,keep,yes,"Get an independent Codex critique / second opinion on a decision, design, or plan (read-only)."
command:codexdiagnose,command,commands,codex-diagnose,mvp:codex-adapter,yes,yes,Read-only cross-model root-cause analysis aids debugging without side effects.,agent-orchestration,yes,Read-only root-cause analysis is useful for debugging failures safely.,testing,keep,yes,Have Codex root-cause a failure without changing files (read-only).
command:codeximplement,command,commands,codex-implement,mvp:codex-adapter,yes,yes,"Bounded, verified code changes via a second model parallelizes implementation work.",agent-orchestration,yes,Bounded implementation plus verification directly supports agentic coding work.,agent-orchestration,keep,yes,Have Codex make a bounded code change and verify it (edits the working tree).
command:codexresearch,command,commands,codex-research,mvp:codex-adapter,yes,yes,Cited web research via a second model is broadly useful for decisions.,agent-orchestration,yes,"Cited web research helps with APIs, tooling decisions, and current docs.",docs,keep,yes,"Have Codex research a question using web search, with citations (read-only)."
command:codexreview,command,commands,codex-review,mvp:codex-adapter,yes,yes,Adversarial cross-model code review catches bugs the authoring model misses.,agent-orchestration,yes,Adversarial read-only review catches defects before commits or PRs.,git,keep,yes,Run an adversarial Codex code review of the current changes (read-only).
command:commit,command,commands,commit,claude-plugins-official,,yes,"Standardized commit creation is small but frequently used, language-neutral git workflow.",git,yes,Creating commits is a basic generic development workflow capability.,git,keep,yes,Create a git commit
command:commitpushpr,command,commands,commit-push-pr,claude-plugins-official,,yes,One-step commit/push/PR streamlines a very common git flow.,git,yes,"Automates commit, push, and PR creation for standard review workflows.",git,keep,yes,"Commit, push, and open a PR"
command:createplugin,command,commands,create-plugin,claude-plugins-official,,yes,"Guided plugin authoring with validation; language-neutral, directly aids harness/skill development.",prompt-authoring,yes,Plugin creation workflow is broadly useful for extending an agent harness.,agent-orchestration,keep,yes,"Guided end-to-end plugin creation workflow with component design, implementation, and validation"
command:doctor,command,commands,doctor,mvp:code-intel; mvp:mvp-plugin,yes,yes,"Diagnoses code-intel tooling (serena, ast-grep, indexing); practical generic environment health check.",devops,yes,Diagnostics for code-intel dependencies and indexing are useful harness maintenance.,devops,keep,yes,"Diagnose the code-intel stack — check that serena, CBM, and ast-grep resolve, whether this repo is indexed, and print fix-up exports if a binary is missing."
command:featuredev,command,commands,feature-dev,claude-plugins-official; everything-claude-code,,yes,"Guided feature development with codebase understanding; language-neutral, high-value workflow.",generic-workflow,yes,Guided feature development and architecture understanding are core agent-coding workflow.,generic-workflow,keep,yes,Guided feature development with codebase understanding and architecture focus
command:harnessscan,command,commands,harness-scan,ours:.claude,yes,yes,Generic reference-harness drift/gap scanning supports ongoing capability curation.,generic-workflow,yes,Useful for evaluating reference harness capabilities and upstream drift.,agent-orchestration,keep,yes,Deep scan of one reference harness — what changed upstream AND what it ships that our harness doesn't — then route candidates via the harness-evaluate skill.
